Protein IDs,Protein names,Gene names,Fasta headers,Proteins,copy number per cell sample  1,copy number per cell sample  2,copy number per cell sample  3,Average copy number
P0AFF2,Nucleoside permease nupC,nupC,>sp|P0AFF2|NUPC_ECOLI Nucleoside permease nupC OS=Escherichia coli (strain K12) GN=nupC PE=1 SV=1,1,763.6487185,525.2281961,618.0406002,635.6391716
P0AFF4,Nucleoside permease nupG,nupG,>sp|P0AFF4|NUPG_ECOLI Nucleoside permease nupG OS=Escherichia coli (strain K12) GN=nupG PE=1 SV=1,1,67.12054905,60.1183799,46.07231032,57.77041309
P0AFF6,Transcription elongation protein nusA,nusA,>sp|P0AFF6|NUSA_ECOLI Transcription elongation protein nusA OS=Escherichia coli (strain K12) GN=nusA PE=1 SV=1,1,749.0885368,671.4428541,583.961321,668.1642373
P0A780,N utilization substance protein B,nusB,>sp|P0A780|NUSB_ECOLI N utilization substance protein B OS=Escherichia coli (strain K12) GN=nusB PE=1 SV=1,1,644.8270246,827.6410014,660.7817077,711.0832445
P0AFG0,Transcription antitermination protein nusG,nusG,>sp|P0AFG0|NUSG_ECOLI Transcription antitermination protein nusG OS=Escherichia coli (strain K12) GN=nusG PE=1 SV=2,1,476.0261608,377.5355636,651.582733,501.7148191
P42641,GTPase ObgE/CgtA,obgE,>sp|P42641|OBG_ECOLI GTPase ObgE/CgtA OS=Escherichia coli (strain K12) GN=obgE PE=1 SV=1,1,118.5044901,108.7365364,120.184518,115.8085148
P0A910,Outer membrane protein A,ompA,>sp|P0A910|OMPA_ECOLI Outer membrane protein A OS=Escherichia coli (strain K12) GN=ompA PE=1 SV=1,1,15412.91816,12002.88612,11828.01082,13081.2717
P06996,Outer membrane protein C,ompC,>sp|P06996|OMPC_ECOLI Outer membrane protein C OS=Escherichia coli (strain K12) GN=ompC PE=1 SV=1,1,1427.825528,1062.422824,1326.233892,1272.160748
P02931;P02932,Outer membrane protein F,ompF,>sp|P02931|OMPF_ECOLI Outer membrane protein F OS=Escherichia coli (strain K12) GN=ompF PE=1 SV=1,2,3851.799849,2620.838501,4068.698543,3513.778964
P0AA16,Transcriptional regulatory protein OmpR,ompR,>sp|P0AA16|OMPR_ECOLI Transcriptional regulatory protein OmpR OS=Escherichia coli (strain K12) GN=ompR PE=1 SV=1,1,1637.956844,1265.650687,1496.099342,1466.568958
P09169;P34210,Protease 7,ompT,>sp|P09169|OMPT_ECOLI Protease 7 OS=Escherichia coli (strain K12) GN=ompT PE=1 SV=1,2,211.6705845,237.9418641,334.4638485,261.3587657
P0A915,Outer membrane protein W,ompW,>sp|P0A915|OMPW_ECOLI Outer membrane protein W OS=Escherichia coli (strain K12) GN=ompW PE=1 SV=1,1,5858.415001,4642.535618,4859.918332,5120.28965
P0A917,Outer membrane protein X,ompX,>sp|P0A917|OMPX_ECOLI Outer membrane protein X OS=Escherichia coli (strain K12) GN=ompX PE=1 SV=1,1,3079.000886,2560.845823,2766.354639,2802.067116
P23843,Periplasmic oligopeptide-binding protein,oppA,>sp|P23843|OPPA_ECOLI Periplasmic oligopeptide-binding protein OS=Escherichia coli (strain K12) GN=oppA PE=1 SV=2,1,831.4903097,802.0251054,849.0535825,827.5229992
P0AFH2,Oligopeptide transport system permease protein oppB,oppB,>sp|P0AFH2|OPPB_ECOLI Oligopeptide transport system permease protein oppB OS=Escherichia coli (strain K12) GN=oppB PE=1 SV=1,1,46.65549252,43.30645309,58.2198723,49.3939393
P0AFH6,Oligopeptide transport system permease protein oppC,oppC,>sp|P0AFH6|OPPC_ECOLI Oligopeptide transport system permease protein oppC OS=Escherichia coli (strain K12) GN=oppC PE=1 SV=1,1,15.64066223,6.842921102,7.951084696,10.14488934
P76027,Oligopeptide transport ATP-binding protein OppD,oppD,>sp|P76027|OPPD_ECOLI Oligopeptide transport ATP-binding protein OppD OS=Escherichia coli (strain K12) GN=oppD PE=3 SV=2,1,90.9195409,51.93393298,59.47262617,67.44203335
P77737,Oligopeptide transport ATP-binding protein OppF,oppF,>sp|P77737|OPPF_ECOLI Oligopeptide transport ATP-binding protein OppF OS=Escherichia coli (strain K12) GN=oppF PE=3 SV=1,1,140.248633,107.8113255,143.2639102,130.4412896
P0A784,Oligoribonuclease,orn,>sp|P0A784|ORN_ECOLI Oligoribonuclease OS=Escherichia coli (strain K12) GN=orn PE=1 SV=2,1,158.5945938,113.4938594,112.1995943,128.0960159
P0ADA7,Osmotically-inducible lipoprotein B,osmB,>sp|P0ADA7|OSMB_ECOLI Osmotically-inducible lipoprotein B OS=Escherichia coli (strain K12) GN=osmB PE=2 SV=1,1,96.41068865,0,0,32.13689622
P0C0L2,Peroxiredoxin osmC,osmC,>sp|P0C0L2|OSMC_ECOLI Peroxiredoxin osmC OS=Escherichia coli (strain K12) GN=osmC PE=1 SV=2,1,132.3164475,120.9933717,116.6410559,123.3169584
P0ADB1,Osmotically-inducible lipoprotein E,osmE,>sp|P0ADB1|OSME_ECOLI Osmotically-inducible lipoprotein E OS=Escherichia coli (strain K12) GN=osmE PE=2 SV=1,1,304.6908638,180.2618811,185.35205,223.4349317
P0AFH8,Osmotically-inducible protein Y,osmY,>sp|P0AFH8|OSMY_ECOLI Osmotically-inducible protein Y OS=Escherichia coli (strain K12) GN=osmY PE=1 SV=1,1,133.5860039,93.54758083,108.1886485,111.7740777
P0ACQ4,Hydrogen peroxide-inducible genes activator,oxyR,>sp|P0ACQ4|OXYR_ECOLI Hydrogen peroxide-inducible genes activator OS=Escherichia coli (strain K12) GN=oxyR PE=1 SV=1,1,326.7846421,320.576646,417.4457177,354.9356686
P00903,Para-aminobenzoate synthase glutamine amidotransferase component II,pabA,>sp|P00903|PABA_ECOLI Para-aminobenzoate synthase glutamine amidotransferase component II OS=Escherichia coli (strain K12) GN=pabA PE=1 SV=1,1,15.0457508,95.35330974,142.4003607,84.26647374
P05041,Para-aminobenzoate synthase component 1,pabB,>sp|P05041|PABB_ECOLI Para-aminobenzoate synthase component 1 OS=Escherichia coli (strain K12) GN=pabB PE=1 SV=1,1,23.48462009,25.77103454,16.38189796,21.87918419
P28305,Aminodeoxychorismate lyase,pabC,>sp|P28305|PABC_ECOLI Aminodeoxychorismate lyase OS=Escherichia coli (strain K12) GN=pabC PE=1 SV=1,1,13.88575831,11.09538184,1442.636248,489.205796
P0A912,Peptidoglycan-associated lipoprotein,pal,>sp|P0A912|PAL_ECOLI Peptidoglycan-associated lipoprotein OS=Escherichia coli (strain K12) GN=pal PE=1 SV=1,1,4777.696183,3152.556458,3874.544211,3934.932284
P31057,3-methyl-2-oxobutanoate hydroxymethyltransferase,panB,>sp|P31057|PANB_ECOLI 3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=panB PE=1 SV=1,1,139.8666272,67.31100357,106.5978002,104.5918103
P31663,Pantothenate synthetase,panC,>sp|P31663|PANC_ECOLI Pantothenate synthetase OS=Escherichia coli (strain K12) GN=panC PE=1 SV=1,1,461.9457078,541.2769614,685.1019365,562.7748686
P0A790,Aspartate 1-decarboxylase;Aspartate 1-decarboxylase beta chain;Aspartate 1-decarboxylase alpha chain,panD,>sp|P0A790|PAND_ECOLI Aspartate 1-decarboxylase OS=Escherichia coli (strain K12) GN=panD PE=1 SV=1,1,146.6890808,66.41706519,135.9182529,116.3414663
P0A9J4,2-dehydropantoate 2-reductase,panE,>sp|P0A9J4|PANE_ECOLI 2-dehydropantoate 2-reductase OS=Escherichia coli (strain K12) GN=panE PE=1 SV=1,1,42.67516981,31.31318635,56.24111954,43.40982523
P16256,Sodium/pantothenate symporter,panF,>sp|P16256|PANF_ECOLI Sodium/pantothenate symporter OS=Escherichia coli (strain K12) GN=panF PE=1 SV=2,1,15.96389943,17.77067615,22.62203419,18.78553659
P0AFI2,DNA topoisomerase 4 subunit A,parC,>sp|P0AFI2|PARC_ECOLI DNA topoisomerase 4 subunit A OS=Escherichia coli (strain K12) GN=parC PE=1 SV=1,1,64.43554425,44.37461351,59.53222012,56.11412596
P20083,DNA topoisomerase 4 subunit B,parE,>sp|P20083|PARE_ECOLI DNA topoisomerase 4 subunit B OS=Escherichia coli (strain K12) GN=parE PE=1 SV=3,1,53.82690046,64.36918829,75.02383342,64.40664072
P22259,Phosphoenolpyruvate carboxykinase [ATP],pckA,>sp|P22259|PCKA_ECOLI Phosphoenolpyruvate carboxykinase [ATP] OS=Escherichia coli (strain K12) GN=pckA PE=1 SV=2,1,1606.295071,1283.275922,1596.800094,1495.457029
P0A7A5,Protein-L-isoaspartate O-methyltransferase,pcm,>sp|P0A7A5|PIMT_ECOLI Protein-L-isoaspartate O-methyltransferase OS=Escherichia coli (strain K12) GN=pcm PE=1 SV=2,1,82.58490861,55.88807432,59.30147464,65.92481919
P0ABF1,Poly(A) polymerase,pcnB,>sp|P0ABF1|PCNB_ECOLI Poly(A) polymerase OS=Escherichia coli (strain K12) GN=pcnB PE=1 SV=2,1,51.80325651,38.90478626,44.19211625,44.96671967
P0ACL9,Pyruvate dehydrogenase complex repressor,pdhR,>sp|P0ACL9|PDHR_ECOLI Pyruvate dehydrogenase complex repressor OS=Escherichia coli (strain K12) GN=pdhR PE=1 SV=1,1,63.39407442,76.09091111,188.4960873,109.3270243
P19624,4-hydroxythreonine-4-phosphate dehydrogenase,pdxA,>sp|P19624|PDXA_ECOLI 4-hydroxythreonine-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxA PE=1 SV=1,1,25.9831333,32.83326431,30.55211373,29.78950378
P05459,Erythronate-4-phosphate dehydrogenase,pdxB,>sp|P05459|PDXB_ECOLI Erythronate-4-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=pdxB PE=2 SV=2,1,343.7575814,299.1308651,348.5985918,330.4956794
P0AFI7,Pyridoxine/pyridoxamine 5-phosphate oxidase,pdxH,>sp|P0AFI7|PDXH_ECOLI Pyridoxine/pyridoxamine 5-phosphate oxidase OS=Escherichia coli (strain K12) GN=pdxH PE=1 SV=2,1,492.9490326,415.8342136,590.269595,499.6842804
P0A794,Pyridoxine 5-phosphate synthase,pdxJ,>sp|P0A794|PDXJ_ECOLI Pyridoxine 5-phosphate synthase OS=Escherichia coli (strain K12) GN=pdxJ PE=1 SV=2,1,529.4538896,394.2037691,323.8645181,415.8407256
P40191,Pyridoxine kinase,pdxK,>sp|P40191|PDXK_ECOLI Pyridoxine kinase OS=Escherichia coli (strain K12) GN=pdxK PE=1 SV=2,1,372.1877444,240.4301034,290.203701,300.9405163
P77150,Pyridoxamine kinase,pdxY,>sp|P77150|PDXY_ECOLI Pyridoxamine kinase OS=Escherichia coli (strain K12) GN=pdxY PE=1 SV=3,1,287.1601849,213.8406563,196.3883706,232.4630706
P68767,Cytosol aminopeptidase,pepA,>sp|P68767|AMPA_ECOLI Cytosol aminopeptidase OS=Escherichia coli (strain K12) GN=pepA PE=1 SV=1,1,406.5493026,284.9965857,353.3923084,348.3127322
P37095,Peptidase B,pepB,>sp|P37095|PEPB_ECOLI Peptidase B OS=Escherichia coli (strain K12) GN=pepB PE=3 SV=2,1,619.7701806,432.4226601,574.6111888,542.2680099
P15288,Cytosol non-specific dipeptidase,pepD,>sp|P15288|PEPD_ECOLI Cytosol non-specific dipeptidase OS=Escherichia coli (strain K12) GN=pepD PE=1 SV=3,1,1217.364093,988.5510287,1158.710045,1121.541722
P0A7C6,Peptidase E,pepE,>sp|P0A7C6|PEPE_ECOLI Peptidase E OS=Escherichia coli (strain K12) GN=pepE PE=1 SV=1,1,297.5323355,244.0123027,296.1934126,279.2460169
P04825,Aminopeptidase N,pepN,>sp|P04825|AMPN_ECOLI Aminopeptidase N OS=Escherichia coli (strain K12) GN=pepN PE=1 SV=2,1,299.0101284,269.3347589,279.9143704,282.7530859
P15034,Xaa-Pro aminopeptidase,pepP,>sp|P15034|AMPP_ECOLI Xaa-Pro aminopeptidase OS=Escherichia coli (strain K12) GN=pepP PE=1 SV=2,1,281.305635,274.5368034,507.7083493,354.5169292
P21165,Xaa-Pro dipeptidase,pepQ,>sp|P21165|PEPQ_ECOLI Xaa-Pro dipeptidase OS=Escherichia coli (strain K12) GN=pepQ PE=1 SV=2,1,201.3339232,148.2994665,242.5653962,197.3995953
P29745,Peptidase T,pepT,>sp|P29745|PEPT_ECOLI Peptidase T OS=Escherichia coli (strain K12) GN=pepT PE=1 SV=2,1,505.3714604,571.5628851,550.7319352,542.5554269
P0AFI9,Putative permease perM,perM,>sp|P0AFI9|PERM_ECOLI Putative permease perM OS=Escherichia coli (strain K12) GN=perM PE=3 SV=1,1,54.08980838,52.76067231,48.18995624,51.68014564
P0A796,6-phosphofructokinase isozyme 1,pfkA,>sp|P0A796|K6PF1_ECOLI 6-phosphofructokinase isozyme 1 OS=Escherichia coli (strain K12) GN=pfkA PE=1 SV=1,1,1554.243705,1093.788812,1076.575483,1241.536
P06999,6-phosphofructokinase isozyme 2,pfkB,>sp|P06999|K6PF2_ECOLI 6-phosphofructokinase isozyme 2 OS=Escherichia coli (strain K12) GN=pfkB PE=1 SV=2,1,187.1001836,161.9535417,167.6846741,172.2461331
P0A9N4,Pyruvate formate-lyase 1-activating enzyme,pflA,>sp|P0A9N4|PFLA_ECOLI Pyruvate formate-lyase 1-activating enzyme OS=Escherichia coli (strain K12) GN=pflA PE=1 SV=2,1,429.0258943,491.9794935,663.3919243,528.1324373
P09373,Formate acetyltransferase 1,pflB,>sp|P09373|PFLB_ECOLI Formate acetyltransferase 1 OS=Escherichia coli (strain K12) GN=pflB PE=1 SV=2,1,6113.159498,4762.386858,5579.42792,5484.991425
P0A6T1,Glucose-6-phosphate isomerase,pgi,>sp|P0A6T1|G6PI_ECOLI Glucose-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=pgi PE=1 SV=1,1,878.2277805,769.5590529,977.8820062,875.2229465
P0A799,Phosphoglycerate kinase,pgk,>sp|P0A799|PGK_ECOLI Phosphoglycerate kinase OS=Escherichia coli (strain K12) GN=pgk PE=1 SV=2,1,7157.362047,5547.392673,5707.410785,6137.388502
P52697,6-phosphogluconolactonase,pgl,>sp|P52697|6PGL_ECOLI 6-phosphogluconolactonase OS=Escherichia coli (strain K12) GN=pgl PE=1 SV=2,1,319.5235486,341.4996122,462.4212918,374.4814842
P36938,Phosphoglucomutase,pgm,>sp|P36938|PGM_ECOLI Phosphoglucomutase OS=Escherichia coli (strain K12) GN=pgm PE=1 SV=1,1,1082.250835,1137.314412,1144.735762,1121.43367
P0A924,Phosphatidylglycerophosphatase B,pgpB,>sp|P0A924|PGPB_ECOLI Phosphatidylglycerophosphatase B OS=Escherichia coli (strain K12) GN=pgpB PE=1 SV=1,1,4.822171487,3.979102111,5.836342538,4.879205379
P0ABF8,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,pgsA,>sp|P0ABF8|PGSA_ECOLI CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase OS=Escherichia coli (strain K12) GN=pgsA PE=1 SV=2,1,116.8932782,62.54069391,63.04243262,80.82546823
P0A9J8,P-protein;Chorismate mutase;Prephenate dehydratase,pheA,>sp|P0A9J8|PHEA_ECOLI P-protein OS=Escherichia coli (strain K12) GN=pheA PE=1 SV=1,1,213.2430895,228.3993324,237.2347545,226.2923921
P24207,Phenylalanine-specific permease,pheP,>sp|P24207|PHEP_ECOLI Phenylalanine-specific permease OS=Escherichia coli (strain K12) GN=pheP PE=1 SV=1,1,1.41712556,1.233784963,1.152621814,1.267844112
P08312,Phenylalanine--tRNA ligase alpha subunit,pheS,>sp|P08312|SYFA_ECOLI Phenylalanine--tRNA ligase alpha subunit OS=Escherichia coli (strain K12) GN=pheS PE=1 SV=2,1,781.711872,859.207975,989.7758468,876.8985646
P07395,Phenylalanine--tRNA ligase beta subunit,pheT,>sp|P07395|SYFB_ECOLI Phenylalanine--tRNA ligase beta subunit OS=Escherichia coli (strain K12) GN=pheT PE=1 SV=2,1,590.4083882,482.9250271,588.9938994,554.1091049
P0AFJ1,Protein phnA,phnA,>sp|P0AFJ1|PHNA_ECOLI Protein phnA OS=Escherichia coli (strain K12) GN=phnA PE=4 SV=1,1,403.1345604,300.560533,463.0811049,388.9253994
P16689,Protein phnM,phnM,>sp|P16689|PHNM_ECOLI Protein phnM OS=Escherichia coli (strain K12) GN=phnM PE=4 SV=2,1,46.4612276,36.35280875,36.44826561,39.75410065
P00634;B8YM76,Alkaline phosphatase,phoA,>sp|P00634|PPB_ECOLI Alkaline phosphatase OS=Escherichia coli (strain K12) GN=phoA PE=1 SV=1;>tr|B8YM76|B8YM76_ECOLI Alkaline phosphatase (Fragment) OS=Escherichia coli (strain K12) PE=3 SV=1,2,3.549636884,3.405167704,4.191292756,3.715365781
P0AFJ5,Phosphate regulon transcriptional regulatory protein phoB,phoB,>sp|P0AFJ5|PHOB_ECOLI Phosphate regulon transcriptional regulatory protein phoB OS=Escherichia coli (strain K12) GN=phoB PE=1 SV=1,1,5.301842479,7.990200623,8.886652855,7.392898653
P0A9K1,Protein phoH,phoH,>sp|P0A9K1|PHOH_ECOLI Protein phoH OS=Escherichia coli (strain K12) GN=phoH PE=1 SV=1,1,35.40282755,23.49891238,40.3521621,33.08463401
P23836,Transcriptional regulatory protein phoP,phoP,>sp|P23836|PHOP_ECOLI Transcriptional regulatory protein phoP OS=Escherichia coli (strain K12) GN=phoP PE=1 SV=1,1,658.2216449,608.8435416,783.2649991,683.4433952
P23837,Sensor protein PhoQ,phoQ,>sp|P23837|PHOQ_ECOLI Sensor protein PhoQ OS=Escherichia coli (strain K12) GN=phoQ PE=1 SV=1,1,19.88486368,14.63447084,20.0782216,18.19918537
P08400,Phosphate regulon sensor protein phoR,phoR,>sp|P08400|PHOR_ECOLI Phosphate regulon sensor protein phoR OS=Escherichia coli (strain K12) GN=phoR PE=1 SV=1,1,3.463307429,3.151449279,3.504883861,3.373213523
P0A9K7,Phosphate transport system protein phoU,phoU,>sp|P0A9K7|PHOU_ECOLI Phosphate transport system protein phoU OS=Escherichia coli (strain K12) GN=phoU PE=1 SV=1,1,290.101356,202.9852443,163.6421472,218.9095825
P0AFJ7,Low-affinity inorganic phosphate transporter 1,pitA,>sp|P0AFJ7|PITA_ECOLI Low-affinity inorganic phosphate transporter 1 OS=Escherichia coli (strain K12) GN=pitA PE=1 SV=1,1,58.05692103,63.83411498,57.57626407,59.82243336
P0A921,Phospholipase A1,pldA,>sp|P0A921|PA1_ECOLI Phospholipase A1 OS=Escherichia coli (strain K12) GN=pldA PE=1 SV=1,1,46.85825541,24.41070465,29.97644254,33.74846753
P07000,Lysophospholipase L2,pldB,>sp|P07000|PLDB_ECOLI Lysophospholipase L2 OS=Escherichia coli (strain K12) GN=pldB PE=4 SV=4,1,19.68497076,6.935437658,1.366113064,9.328840494
P76002,Inhibitor of g-type lysozyme,pliG,>sp|P76002|PLIG_ECOLI Inhibitor of g-type lysozyme OS=Escherichia coli (strain K12) GN=pliG PE=1 SV=1,1,502.9494692,491.1682144,610.6286323,534.9154386
P0A7A7,Glycerol-3-phosphate acyltransferase,plsB,>sp|P0A7A7|PLSB_ECOLI Glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsB PE=1 SV=2,1,79.91877163,68.50809717,92.78710726,80.40465869
P26647,1-acyl-sn-glycerol-3-phosphate acyltransferase,plsC,>sp|P26647|PLSC_ECOLI 1-acyl-sn-glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsC PE=1 SV=1,1,47.24620893,42.63382077,52.64247477,47.50750149
P27247,Phosphate acyltransferase,plsX,>sp|P27247|PLSX_ECOLI Phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsX PE=1 SV=2,1,9.481509855,8.361352343,8.315083678,8.719315292
P60782,Probable glycerol-3-phosphate acyltransferase,plsY,>sp|P60782|PLSY_ECOLI Probable glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsY PE=1 SV=1,1,10.69905852,0,8.63436818,6.444475566
P0AFK0,Protein pmbA,pmbA,>sp|P0AFK0|PMBA_ECOLI Protein pmbA OS=Escherichia coli (strain K12) GN=pmbA PE=1 SV=1,1,133.895733,100.1026286,99.52241092,111.1735909
P37590,Signal transduction protein pmrD,pmrD,>sp|P37590|PMRD_ECOLI Signal transduction protein pmrD OS=Escherichia coli (strain K12) GN=pmrD PE=1 SV=2,1,0,30.85428583,35.65651955,22.17026846
P21369,Pyrazinamidase/nicotinamidase,pncA,>sp|P21369|PNCA_ECOLI Pyrazinamidase/nicotinamidase OS=Escherichia coli (strain K12) GN=pncA PE=3 SV=1,1,17.86029409,18.64536477,7.923415115,14.80969132
P18133,Nicotinate phosphoribosyltransferase,pncB,>sp|P18133|PNCB_ECOLI Nicotinate phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=pncB PE=1 SV=3,1,9.896351507,33.78644368,27.59315525,23.75865014
P05055,Polyribonucleotide nucleotidyltransferase,pnp,>sp|P05055|PNP_ECOLI Polyribonucleotide nucleotidyltransferase OS=Escherichia coli (strain K12) GN=pnp PE=1 SV=3,1,1002.178062,779.9374031,953.3041999,911.806555
P07001,NAD(P) transhydrogenase subunit alpha,pntA,>sp|P07001|PNTA_ECOLI NAD(P) transhydrogenase subunit alpha OS=Escherichia coli (strain K12) GN=pntA PE=1 SV=2,1,264.8818313,233.9348403,235.4710931,244.7625882
P0AB67,NAD(P) transhydrogenase subunit beta,pntB,>sp|P0AB67|PNTB_ECOLI NAD(P) transhydrogenase subunit beta OS=Escherichia coli (strain K12) GN=pntB PE=1 SV=1,1,134.2819236,135.3389727,198.9006957,156.173864
P00582,DNA polymerase I,polA,>sp|P00582|DPO1_ECOLI DNA polymerase I OS=Escherichia coli (strain K12) GN=polA PE=1 SV=1,1,201.0409542,186.6790293,276.3599919,221.3599918
P21189,DNA polymerase II,polB,>sp|P21189|DPO2_ECOLI DNA polymerase II OS=Escherichia coli (strain K12) GN=polB PE=1 SV=2,1,0.442828912,3.293559384,10.84928604,4.861891447
P69874,Spermidine/putrescine import ATP-binding protein PotA,potA,>sp|P69874|POTA_ECOLI Spermidine/putrescine import ATP-binding protein PotA OS=Escherichia coli (strain K12) GN=potA PE=1 SV=1,1,110.8254268,74.37991759,88.18542245,91.1302556
P0AFK4,Spermidine/putrescine transport system permease protein PotB,potB,>sp|P0AFK4|POTB_ECOLI Spermidine/putrescine transport system permease protein PotB OS=Escherichia coli (strain K12) GN=potB PE=1 SV=1,1,4.376017242,5.779890462,4.99918482,5.051697508
P0AFK6,Spermidine/putrescine transport system permease protein PotC,potC,>sp|P0AFK6|POTC_ECOLI Spermidine/putrescine transport system permease protein PotC OS=Escherichia coli (strain K12) GN=potC PE=3 SV=1,1,1.178154219,1.650498956,4.706974118,2.511875764
P0AFK9,Spermidine/putrescine-binding periplasmic protein,potD,>sp|P0AFK9|POTD_ECOLI Spermidine/putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=potD PE=1 SV=1,1,962.8245768,735.0038958,809.8958265,835.9080997
P31133,Putrescine-binding periplasmic protein,potF,>sp|P31133|POTF_ECOLI Putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) GN=potF PE=1 SV=3,1,4.551933511,0.746357008,0,1.766096839
P0A8N7,Uncharacterized protein YjeA,poxA,>sp|P0A8N7|YJEA_ECOLI Uncharacterized protein YjeA OS=Escherichia coli (strain K12) GN=poxA PE=3 SV=1,1,89.30837544,72.28859751,70.38648226,77.3278184
P0A7A9,Inorganic pyrophosphatase,ppa,>sp|P0A7A9|IPYR_ECOLI Inorganic pyrophosphatase OS=Escherichia coli (strain K12) GN=ppa PE=1 SV=2,1,3043.375227,3068.785633,3278.918606,3130.359822
P00864,Phosphoenolpyruvate carboxylase,ppc,>sp|P00864|CAPP_ECOLI Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) GN=ppc PE=1 SV=1,1,152.5432173,138.7857092,183.7822935,158.3704067
P0AFL3,Peptidyl-prolyl cis-trans isomerase A,ppiA,>sp|P0AFL3|PPIA_ECOLI Peptidyl-prolyl cis-trans isomerase A OS=Escherichia coli (strain K12) GN=ppiA PE=1 SV=1,1,82.0298999,135.532129,186.9235948,134.8285412
P23869,Peptidyl-prolyl cis-trans isomerase B,ppiB,>sp|P23869|PPIB_ECOLI Peptidyl-prolyl cis-trans isomerase B OS=Escherichia coli (strain K12) GN=ppiB PE=1 SV=2,1,3467.230475,2514.662247,3466.341785,3149.411502
P0A9L5,Peptidyl-prolyl cis-trans isomerase C,ppiC,>sp|P0A9L5|PPIC_ECOLI Peptidyl-prolyl cis-trans isomerase C OS=Escherichia coli (strain K12) GN=ppiC PE=1 SV=2,1,466.5070901,393.5659348,410.1255001,423.3995083
P0ADY1,Peptidyl-prolyl cis-trans isomerase D,ppiD,>sp|P0ADY1|PPID_ECOLI Peptidyl-prolyl cis-trans isomerase D OS=Escherichia coli (strain K12) GN=ppiD PE=1 SV=1,1,672.3833308,501.5617202,534.5944385,569.5131632
P0A7B1,Polyphosphate kinase,ppk,>sp|P0A7B1|PPK_ECOLI Polyphosphate kinase OS=Escherichia coli (strain K12) GN=ppk PE=1 SV=2,1,107.9483506,89.83343424,137.2184988,111.6667612
P0A7B3,Probable inorganic polyphosphate/ATP-NAD kinase,ppnK,>sp|P0A7B3|PPNK_ECOLI Probable inorganic polyphosphate/ATP-NAD kinase OS=Escherichia coli (strain K12) GN=ppnK PE=3 SV=1,1,22.25594908,12.3603772,16.9432893,17.18653853
P23538,Phosphoenolpyruvate synthase,ppsA,>sp|P23538|PPSA_ECOLI Phosphoenolpyruvate synthase OS=Escherichia coli (strain K12) GN=ppsA PE=1 SV=5,1,2689.051907,2174.524754,2670.717521,2511.431394
P0AFL6,Exopolyphosphatase,ppx,>sp|P0AFL6|PPX_ECOLI Exopolyphosphatase OS=Escherichia coli (strain K12) GN=ppx PE=1 SV=2,1,139.3575556,113.2988292,147.6173021,133.4245623
P43671,Paraquat-inducible protein B,pqiB,>sp|P43671|PQIB_ECOLI Paraquat-inducible protein B OS=Escherichia coli (strain K12) GN=pqiB PE=2 SV=2,1,60.09835463,44.54368158,56.19538386,53.61247335
P31828,Probable zinc protease pqqL,pqqL,>sp|P31828|PQQL_ECOLI Probable zinc protease pqqL OS=Escherichia coli (strain K12) GN=pqqL PE=3 SV=2,1,13.04171389,9.590163293,12.84975285,11.82721001
P23865,Tail-specific protease,prc,>sp|P23865|PRC_ECOLI Tail-specific protease OS=Escherichia coli (strain K12) GN=prc PE=1 SV=2,1,73.03460868,62.5567206,78.7307225,71.44068393
P25889,NAD-dependent dihydropyrimidine dehydrogenase subunit PreA,preA,>sp|P25889|PREA_ECOLI NAD-dependent dihydropyrimidine dehydrogenase subunit PreA OS=Escherichia coli (strain K12) GN=preA PE=1 SV=3,1,318.9327813,350.7458799,414.6611344,361.4465986
P76440,NAD-dependent dihydropyrimidine dehydrogenase sunbunit PreT,preT,>sp|P76440|PRET_ECOLI NAD-dependent dihydropyrimidine dehydrogenase sunbunit PreT OS=Escherichia coli (strain K12) GN=preT PE=1 SV=1,1,324.2395403,220.0558399,305.426701,283.2406937
P0A7I0,Peptide chain release factor 1,prfA,>sp|P0A7I0|RF1_ECOLI Peptide chain release factor 1 OS=Escherichia coli (strain K12) GN=prfA PE=1 SV=1,1,143.3797886,146.0424916,179.4615568,156.2946123
P07012,Peptide chain release factor 2,prfB,>sp|P07012|RF2_ECOLI Peptide chain release factor 2 OS=Escherichia coli (strain K12) GN=prfB PE=1 SV=3,1,322.8643853,214.0914977,284.5115543,273.8224791
P0A7I4,Peptide chain release factor 3,prfC,>sp|P0A7I4|RF3_ECOLI Peptide chain release factor 3 OS=Escherichia coli (strain K12) GN=prfC PE=1 SV=2,1,157.5619535,139.5893291,128.7229902,141.9580909
