# Generated from the following BioVelo query on EcoCyc, 12:28pm, November 3, 2024: html-sort-ascending(html-table-headers([(x^?name, x^?frame-id, x^regulated-by, [c: c<-x^components, c isa DNA-Binding-Sites]) : x<-ECOLI^^Transcription-Units,  !(classp x), Evidence := (evidence x), [e:e<-Evidence]], ("Name", "Frame ID", "Regulated by", "DNA Binding Sites", "Evidence")), 2)
cyaY	TU0-14229
glpQ	TU0-42700
yegD	TU0-8721
gapA	TU0-42480
greA	TU0-14794
fdrA-ylbEF-ybcF	TU0-12962
cyuPA	TU0-13869	Regulation of cyuPA by DNA-binding transcriptional activator DecR
murQP	TU0-45211
hdfR	TU0-8808
alsRBACE	TU0-4502		AlsR DNA-binding-site regulating alsRp2
gadW	TU0-14719
yajQ	TU0-8555
dcrB	TU0-13945
ptsHI-crr	TU0-45232		Mlc DNA-binding-site 13 bases downstream of ptsHp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63.5 bases upstream of ptsHp
cysG	TU0-0
patA	TU0-45258	Regulation of patA by ppGpp	IHF DNA-binding-site 256 bases upstream of patAp2,Fis DNA-binding-site 121 bases upstream of patAp2,NtrC-P<sup>asp</sup> DNA-binding-site 193 bases upstream of patAp2,NtrC-P<sup>asp</sup> DNA-binding-site 171 bases upstream of patAp2
yijE	TU0-14089
bglGFB	TU0-4802		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 41.5 bases upstream of bglGp2,Fis DNA-binding-site 52 bases upstream of bglGp1,Fis DNA-binding-site 27 bases upstream of bglGp1,H-NS DNA-binding-site 680 bases downstream of bglGp1
gltX	TU0-6551
talA-tktB	TU0-6921	Regulation of talA-tktB by RNA polymerase-binding transcription factor DksA,Regulation of talA-tktB by ppGpp
uvrB	TU0-7044
corA	TU00455
rplY	TU0-13557	Regulation of rplY by 50S ribosomal subunit protein L25
aroKB-damX-dam-rpe-gph-trpS	TU872
xylE	TU0-14113
melR	TU00040		MelR-melibiose DNA-binding-site 42.5 bases upstream of melAp,MelR-melibiose DNA-binding-site 100.5 bases upstream of melAp,MelR-melibiose DNA-binding-site 120.5 bases upstream of melAp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 81.5 bases upstream of melAp,MelR-melibiose DNA-binding-site 62.5 bases upstream of melAp,MelR DNA-binding-site 238.5 bases upstream of melAp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 195.5 bases upstream of melAp
cbpAM	TU00387	Regulation of cbpAM by ppGpp
aphA	TU0-14121
psuKG	TU0-13546	Regulation of psuKG by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
yfjPQ	TU0-13694
cybB	TU0-13253
yiiE	TU0-14071
rpnD	TU0-14204
sdhDAB	TU0-6702		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 13 bases upstream of sdhDp
uacT	TU0-13785
glpR	TU404
eutSPQTDM	TU0-13636	Regulation of eutSPQTDM by DNA-binding transcriptional dual regulator NagC
ompA	TU0-4742	Regulation of ompA by small regulatory RNA RseX,Regulation of ompA by small regulatory RNA MicA
yejG	TU0-13553
entH	TU0-14617
tolC-ygiBC	TU0-14701
gadXW	TU0-14433	Regulation of gadXW by small regulatory RNA GadY
ygcU	TU0-13731
ybdM	TU0-12992
ybaP	TU0-8523
yniA	TU0-13382	Regulation of yniA by ppGpp
prpBCDE	TU0-3602		PrpR-2-methylcitrate DNA-binding-site 147.5 bases upstream of prpBp,PrpR-2-methylcitrate DNA-binding-site 113.5 bases upstream of prpBp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 106.5 bases upstream of prpBp
cpxRA	TU0-3	Regulation of cpxRA by small regulatory RNA MicF	CpxR-phosphorylated DNA-binding-site 67 bases upstream of cpxRp2,CpxR-phosphorylated DNA-binding-site 47 bases upstream of cpxRp2
dgcQ	TU0-13460
rpsMKD-rpoA-rplQ	TU0-14658
phoPQ	TU0-14468
uspG	TU0-8536
ugd	TU0-13495	Regulation of ugd by DNA-binding transcriptional dual regulator Nac
gloB	TU0-12842
sufABCDSE	TU0-2621	Regulation of sufABCDSE by ppGpp	DNA-binding transcriptional dual regulator Fur DNA-binding-site 20 bases upstream of sufAp,IscR DNA-binding-site 42.5 bases upstream of sufAp,IHF DNA-binding-site 145 bases upstream of sufAp,OxyR DNA-binding-site 210 bases upstream of sufAp
insK	TU0-8262		LexA DNA-binding-site regulating insKp
pdxJ-acpS	TU484
nudI	TU0-8730
crcB	TU0-8778
ybhC	TU0-13045
cutA	TU359
yfgG	TU0-13647
gadBC	TU0-45231	Regulation of gadBC by ppGpp	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63.5 bases upstream of gadBp2,GadE DNA-binding-site 62.5 bases upstream of gadBp2,GadX DNA-binding-site 98.5 bases upstream of gadBp2,GadX DNA-binding-site 17.5 bases upstream of gadBp2
ybjC-nfsA-rimK-ybjN	TU0-2101		SoxS DNA-binding-site 56.5 bases upstream of ybjCp
hyfABCDEFGHIJR-focB	TU686		Fnr DNA-binding-site 105.5 bases upstream of hyfAp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 160.5 bases upstream of hyfAp,FhlA-formate DNA-binding-site 130 bases upstream of hyfAp,HyfR DNA-binding-site 129.5 bases upstream of hyfAp
rmuC	TU0-14051
groSL	TU0-45180
yciSM-pyrF-yciH	TU0-45262
allA	TU0-7601		AllR-allantoin DNA-binding-site 37 bases upstream of allSp
yjaA	TU0-14105
sokE	TU0-198719
ybaQ	TU0-8524
uxaB	TU00372
aegA	TU0-13640	Regulation of aegA by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
epd-pgk-fbaA	TU0-45273
sdiA	TU0-13452	Regulation of sdiA by DNA-binding transcriptional dual regulator Nac
acpH	TU0-8764
tyrR	TU00068		TyrR DNA-binding-site 95.5 bases upstream of tyrRp,TyrR DNA-binding-site 51.5 bases upstream of tyrRp
ybeD	TU0-13007
btsT	TU0-42491
rhtB	TU0-8501
lptAB	TU0-14292
ppc	TU0-6510
zapC	TU0-13096
deaD	TU0-13880
ydcO	TU0-8702	Regulation of ydcO by DNA-binding transcriptional dual regulator SutR
groL	TU0-14674
ydhL	TU0-13358
pspBCDE	TU0-14550
yedP	TU0-8720	Regulation of yedP by ppGpp
ydcH	TU0-13260
poxB-ltaE-ybjT	TU0-13075
murA	TU0-13887
ylbG	TU0-12961
lacZYA	TU0-4702		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 39.5 bases upstream of lacZp2
metA	TU00041		MetJ-SAM DNA-binding-site 4.5 bases downstream of metAp1,MetJ-SAM DNA-binding-site 20.5 bases downstream of metAp1
omrB	TU0-8762		OmpR-P DNA-binding-site 71.5 bases upstream of omrBp
fabR-yijD	TU0-14097
slt	TU0-14226
rtcBA	TU61		IHF DNA-binding-site 62 bases upstream of rtcBp,IHF DNA-binding-site 52 bases upstream of rtcBp
ynaA-lomR	TU0-13235
fucU	TU0-42698
tamAB-ytfP	TU0-14165
ymdB-clsC	TU0-13123
mlaFEDCB	TU0-13889
glgS	TU00420	Regulation of glgS by carbon storage regulator CsrA
rplM-rpsI	TU00336	Regulation of rplM-rpsI by ATP-dependent RNA helicase SrmB,Regulation of rplM-rpsI by 50S ribosomal subunit protein L13	Fnr DNA-binding-site regulating rplMp
yffQR	TU0-13632
cspE	TU0-14576
tar-tap-cheRBYZ	TU0-1547		Fnr DNA-binding-site regulating tarp
ygiN	TU0-13836	Regulation of ygiN by DNA-binding transcriptional dual regulator Nac
wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	TU0-13499
exoD	TU0-12969
pqqL	TU0-13289
ydcR	TU0-13267
rsmB	TU0-14355
ygaZH	TU0-13713
lsp-fkpB-ispH	TU0-14253
ygeI	TU0-13764
yafC	TU0-8541	Regulation of yafC by DNA-binding transcriptional dual regulator Nac
cobUST	TU00252
entCEBA-ybdB	TU00166		DNA-binding transcriptional dual regulator Fur DNA-binding-site 25 bases downstream of entCp,DNA-binding transcriptional dual regulator Fur DNA-binding-site 19 bases downstream of entCp,DNA-binding transcriptional dual regulator Fur DNA-binding-site 13 bases downstream of entCp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 29.5 bases upstream of entCp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 267.5 bases upstream of entCp,DNA-binding transcriptional dual regulator Fur DNA-binding-site 100 bases upstream of entCp
yfgO	TU0-8739
rnt-lhr	TU00333
metJ	TU0-2706
csgDEFG	TU0-14429
apaGH	TU0-5202
yjjB-dnaTC-yjjA	TU0-8867
yoaF	TU0-8644
hemH	TU0-12951	Regulation of hemH by small regulatory RNA RyhB	OxyR DNA-binding-site 33 bases upstream of hemHp
aceEF	TU0-6634		ArcA-P<sup>asp54</sup> DNA-binding-site regulating aceEp2
yehR	TU0-13524
ycbJ	TU0-13089
zitB	TU0-13038
yfiM	TU0-13673
zapE	TU0-13896
mglAC	TU0-7901
glpR	TU403
pflB	TU00381
yfdV	TU0-13609	Regulation of yfdV by DNA-binding transcriptional dual regulator Nac
ypdJ	TU0-13606
secG-leuU	TU0-14574
clcA	TU0-12821
acnA	TU0-14625
ibaG	TU0-13888
ydbH-ynbE-ydbL	TU0-13242
yqjF	TU0-13864	Regulation of yqjF by ppGpp,Regulation of yqjF by DNA-binding transcriptional activator YhaJ
trxA	TU0-3102		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 23.5 bases upstream of trxAp1
yhcN	TU0-13899
kdsC-lptCAB	TU0-36431
coaA	TU0-14228
ralA	TU0-42572
hemF	TU0-45288
ddpXABCDF	TU0-42463
och5	TU0-198718
metA	TU0-5061
ymgC	TU0-13162
lsrRK	TU0-13299
ydhP	TU0-8332
proS	TU0-6562
dgt	TU0-12823
yejLM	TU0-13558
yjjUV	TU0-14219
yjhR	TU0-8623
tauABC	TU0-198708	Regulation of tauABC by [2Fe-2S] cluster DNA-binding transcriptional dual regulator
aspX	TU0-52570
yddM	TU0-13285
clsC	TU0-14619
purT	TU0-8494
ycdXY	TU0-13120
csgBAC	TU00390		CpxR-phosphorylated DNA-binding-site 8 bases downstream of csgBp2,CsgD DNA-binding-site 38 bases upstream of csgBp2
rhlB	TU0-14037
adiC	TU0-14134
eno	TU0-45270
yajG-ampG	TU0-42605
scpA-argK-scpBC	TU0-8343	Regulation of scpA-argK-scpBC by DNA-binding transcriptional dual regulator FNR
aat	TU0-13077
yjgL	TU0-14174
yaiP	TU0-12906
ydeJ	TU0-8706
yaiI	TU0-12914
endA	TU00452
yceD-rpmF	TU601
aroL-yaiA-aroM	TU00011		TrpR-trp DNA-binding-site 48.5 bases downstream of aroLp1,TyrR-tyr DNA-binding-site 45 bases upstream of aroLp1,TyrR-tyr DNA-binding-site 12 bases downstream of aroLp1,TyrR-tyr DNA-binding-site 31 bases downstream of aroLp1,TrpR-trp DNA-binding-site 56.5 bases downstream of aroLp1
csgDEFG	TU00392	Regulation of csgDEFG by small regulatory RNA RybB,Regulation of csgDEFG by small regulatory RNA RydC,Regulation of csgDEFG by small regulatory RNA RprA,Regulation of csgDEFG by small regulatory RNA GcvB,Regulation of csgDEFG by small regulatory RNA RprA,Regulation of csgDEFG by small regulatory RNA McaS,Regulation of csgDEFG by small regulatory RNA OmrB,Regulation of csgDEFG by small regulatory RNA OmrA	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 170.5 bases upstream of csgDp3,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 42.5 bases upstream of csgDp3,CpxR-phosphorylated DNA-binding-site 100 bases upstream of csgDp3,CpxR-phosphorylated DNA-binding-site 52 bases upstream of csgDp3,CpxR-phosphorylated DNA-binding-site 48 bases upstream of csgDp3,CpxR-phosphorylated DNA-binding-site 21.5 bases upstream of csgDp3,CpxR-phosphorylated DNA-binding-site 3 bases downstream of csgDp3,CsgD DNA-binding-site 118.5 bases upstream of csgDp3,OmpR-P DNA-binding-site 49.5 bases upstream of csgDp3
bssR	TU0-13065
rsmD-yhhL	TU0-13942
sodA	TU00064	Regulation of sodA by small regulatory RNA RyhB,Regulation of sodA by small regulatory RNA FnrS	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 99.5 bases upstream of sodAp,ArcA-P<sup>asp54</sup> DNA-binding-site 38 bases upstream of sodAp,ArcA-P<sup>asp54</sup> DNA-binding-site 21 bases upstream of sodAp,Fnr DNA-binding-site 37.5 bases upstream of sodAp,ArcA-P<sup>asp54</sup> DNA-binding-site 10 bases upstream of sodAp,DNA-binding transcriptional dual regulator Fur DNA-binding-site 42 bases upstream of sodAp,DNA-binding transcriptional dual regulator Fur DNA-binding-site 36 bases upstream of sodAp,IHF DNA-binding-site 68 bases upstream of sodAp,MarA DNA-binding-site 40.5 bases upstream of sodAp,Rob DNA-binding-site 40.5 bases upstream of sodAp,SoxS DNA-binding-site 44 bases upstream of sodAp,IHF DNA-binding-site 48 bases upstream of sodAp,IHF DNA-binding-site 24 bases upstream of sodAp,IHF DNA-binding-site 1 bases upstream of sodAp
rrsG-gltW-rrlG-rrfG	TU0-1188
tnaC	TU0-42514
ydjA-selD-topB	TU00356
dksA-gluQ	TU0-42497
ytfI	TU0-14163
rpe-gph-trpS	TU877
mlc-ynfK	TU0-45193		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 70.5 bases upstream of mlcp,Mlc DNA-binding-site 4 bases downstream of mlcp
ompR-envZ	TU00177		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 75 bases upstream of ompRp2
treR	TU0-2441
pmrD	TU0-13570
gntR	TU0-4521
yibD	TU0-13999
ybcLM	TU0-12974
panZ	TU0-8583
htpX	TU00400
sroG-ribB	TU0-13839
phoPQ	TU00319	Regulation of phoPQ by small regulatory RNA GcvB,Regulation of phoPQ by small regulatory RNA MicA	PhoP-P<sup>asp51</sup> DNA-binding-site 33.0 bases upstream of phoPp1
mgtS	TU0-13307
prkB	TU0-13920
pykF	TU0-14822
gadBC	TU369	Regulation of gadBC by ppGpp	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 63.5 bases upstream of gadBp2,GadE DNA-binding-site 62.5 bases upstream of gadBp2,GadX DNA-binding-site 98.5 bases upstream of gadBp2,GadX DNA-binding-site 17.5 bases upstream of gadBp2
dinG-ybiB	TU0-6301		LexA DNA-binding-site 27.5 bases upstream of dinGp
cbl	TU0-1342		DNA-binding transcriptional dual regulator CysB DNA-binding-site regulating cblp
nohA-stfQ-tfaQ	TU0-7681		DNA-binding transcriptional dual regulator Fur DNA-binding-site 4 bases downstream of nohAp,DNA-binding transcriptional dual regulator Fur DNA-binding-site 2 bases downstream of nohAp
ydiM	TU0-13372
nrdAB-yfaE	TU00047		Fis DNA-binding-site 323 bases upstream of nrdAp,Fis DNA-binding-site 269 bases upstream of nrdAp,Fis DNA-binding-site 199 bases upstream of nrdAp,Fis DNA-binding-site 128 bases upstream of nrdAp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 136.5 bases upstream of nrdAp,ArgP DNA-binding-site 218.5 bases upstream of nrdAp,ArgP DNA-binding-site 190.5 bases upstream of nrdAp,ArgP DNA-binding-site 163.5 bases upstream of nrdAp,Fis DNA-binding-site 156 bases upstream of nrdAp,DnaA-ATP DNA-binding-site 48 bases upstream of nrdAp,DnaA-ATP DNA-binding-site 36.5 bases upstream of nrdAp
mntH	TU0-7321		MntR DNA-binding-site 5.5 bases downstream of mntHp,DNA-binding transcriptional dual regulator Fur DNA-binding-site 31.5 bases upstream of mntHp
yjfN	TU0-14155	Regulation of yjfN by DNA-binding transcriptional dual regulator CpxR-phosphorylated
ybgTE	TU0-14366
rna	TU0-12997
luxS	TU0-8849	Regulation of luxS by small regulatory RNA CyaR
xanQ-guaD-ghxQ	TU0-13783
yhcADE	TU0-13892
htpG	TU00402
ydhS	TU0-13362	Regulation of ydhS by DNA-binding transcriptional repressor GlaR
torR	TU793		TorR-P<SUP>asp</SUP> DNA-binding-site 68.5 bases upstream of torCp,TorR-P<SUP>asp</SUP> DNA-binding-site 78.5 bases upstream of torCp
tsr	TU0-7		CpxR-phosphorylated DNA-binding-site 9 bases upstream of tsrp1
galETK	TU0-45176
tyrS-pdxY	TU0-14629
fsaA	TU0-8800
cysK	TU0-14642
dhaR	TU0-7962
ascB	TU0-42599
ggt	TU0-8802	Regulation of ggt by ppGpp
cysS	TU0-8477
yhaJ	TU0-8573	Regulation of yhaJ by DNA-binding transcriptional activator YhaJ
sbmA-yaiW	TU0-3426
yfeCD	TU0-42504
intG	TU0-8838
yrhC	TU0-13950
yceB	TU0-13129
yeaX	TU0-13412
htrL	TU0-14000
grpE	TU00411		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 243.5 bases upstream of grpEp
gadC	TU0-41793	Regulation of gadC by ppGpp
hdhA	TU0-13349
ybhQ	TU0-8566
infC	TU0-3304
yaiZ	TU0-8554
rpsO	TU0-8474	Regulation of rpsO by 30S ribosomal subunit protein S1,Regulation of rpsO by 30S ribosomal subunit protein S15
mtfA	TU0-13471	Regulation of mtfA by DNA-binding transcriptional dual regulator Nac
ymdF	TU0-14245
rnlAB	TU0-14327
pstSCAB-phoU	TU0-45216		Fnr DNA-binding-site regulating pstSp2,IHF DNA-binding-site 16.5 bases downstream of pstSp2,PhoB-P<sup>asp53</sup> DNA-binding-site 32 bases upstream of pstSp2,PhoB-P<sup>asp53</sup> DNA-binding-site 54 bases upstream of pstSp2
mltA	TU0-13743
argU	TU00491		Fis DNA-binding-site 65 bases upstream of argUp
ffh	TU0-13680
ruvAB	TU0-6661		LexA DNA-binding-site 72.5 bases upstream of ruvAp2,LexA DNA-binding-site 19.5 bases upstream of ruvAp2
ltaE-ybjT	TU0-14618
yjbQR	TU0-14122
putP	TU123
rseD-rpoE-rseABC	TU0-42640
elaD	TU0-13574
mdoGH	TU00297
argX-hisR-leuT-proM	TU00503		Fis DNA-binding-site 75 bases upstream of argXp
bssS	TU0-14621
lpxM	TU0-13441
tig	TU0-12928
wbbIJK	TU0-14317
pyrG-eno	TU0-14654
aroH	TU00010		TrpR-trp DNA-binding-site 29.5 bases upstream of aroHp1,TrpR-trp DNA-binding-site 37.5 bases upstream of aroHp1
ygjP	TU0-13856
yohD	TU0-8649
torS	TU0-13112
pfkA	TU0-14813
yacG	TU0-14495
serC	TU0-42569
ihfB	TU00175		IHF DNA-binding-site 320 bases upstream of ihfBp2,IHF DNA-binding-site 304 bases upstream of ihfBp2,IHF DNA-binding-site 207 bases upstream of ihfBp2,IHF DNA-binding-site 157 bases upstream of ihfBp2,IHF DNA-binding-site 77 bases upstream of ihfBp2,IHF DNA-binding-site 2 bases upstream of ihfBp2
lgt	TU0-42614
symR	TU0-14420
pfkB	TU0-6408
dcuA	TU621
gmhA	TU0-12846
ptsHI-crr	TU00483		Cra DNA-binding-site 55.5 bases upstream of ptsHp1,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 42.5 bases upstream of ptsHp1
yebV	TU0-13429	Regulation of yebV by ppGpp
blc	TU0-6484	Regulation of blc by ppGpp
allB	TU0-44197
pykF	TU0-14631
yhdU	TU0-13906
bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE	TU0-8373
ypfG	TU0-13638
yfbR	TU0-13580	Regulation of yfbR by CysB-<i>O</i>-acetyl-L-serine DNA-binding transcriptional dual regulator
sohA-yhaV	TU0-13872
rcnAB	TU0-13514
yfcJ	TU0-13592
nagE	TU0-4421		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 27.5 bases upstream of nagEp,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 61.5 bases upstream of nagEp,NagC DNA-binding-site 125 bases upstream of nagEp,NagC DNA-binding-site 31 bases upstream of nagEp
amyA	TU0-7461
mlaFEDCB	TU0-42672
ymfI	TU0-8635
amn	TU0-6422
hslR-hslO	TU0-14479
ampH	TU0-8768
iraM	TU0-13156
yahL	TU0-12896
yjhU	TU0-14190
insH-7	TU0-14362
rep	TU0-6511
dapA-nlpB	TU00256
rclABC	TU0-12885
yfcUSRQPO	TU0-13594
azoR	TU0-42461
hda	TU0-13646
puuDRCBE	TU0-13210
yjjP	TU0-14213
ftp	TU0-13561
yejABEF	TU0-13552
pspF	TU0-1803
fkpA	TU0-1064
ycgV	TU0-13178	Regulation of ycgV by DNA-binding transcriptional repressor GlaR,Regulation of ycgV by DNA-binding transcriptional dual regulator Nac
secG-leuU	TU0-14573
prmB-aroC-mepA-yfcA-epmC-yfcL	TU0-13593
yajO	TU0-14500	Regulation of yajO by ppGpp
rsmF	TU0-13428	Regulation of rsmF by DNA-binding transcriptional dual regulator Nac
gltBDF	TU00182		ArgR-arg DNA-binding-site 331.5 bases upstream of gltBp2,ArgR-arg DNA-binding-site 352 bases upstream of gltBp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 65.5 bases upstream of gltBp2,IHF DNA-binding-site 85 bases upstream of gltBp2,IHF DNA-binding-site 89 bases upstream of gltBp2,Fnr DNA-binding-site 26.5 bases upstream of gltBp2,GadE DNA-binding-site 284 bases upstream of gltBp2,Lrp DNA-binding-site 152 bases upstream of gltBp2,Lrp DNA-binding-site 215 bases upstream of gltBp2,Lrp DNA-binding-site 246 bases upstream of gltBp2
rrsH-ileV-alaV-rrlH-rrfH	TU0-45269		Fis DNA-binding-site 181 bases upstream of rrsHp,Fis DNA-binding-site 134 bases upstream of rrsHp,Fis DNA-binding-site 91 bases upstream of rrsHp,Fis DNA-binding-site 71 bases upstream of rrsHp
pykA	TU0-13440
appCBA-yccB	TU00097		AppY DNA-binding-site regulating appCp2
dksA-yadB	TU0-14681
aspS	TU0-14634
yphG	TU0-13664
ykfC	TU0-12863
aroP	TU641		TyrR-tyr DNA-binding-site 63.5 bases downstream of aroPp1,TyrR-tyr DNA-binding-site 40.5 bases downstream of aroPp1
leuU	TU00518
gabDTP	TU0-4823
gadW	TU0-14718
lacZYA	TU0-4701		CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 39.5 bases upstream of lacZp2
hydN-hypF	TU424		FhlA-formate DNA-binding-site regulating hydNp
yeaE	TU0-13399
racC	TU0-13227
ydcL	TU0-13261	Regulation of ydcL by DNA-binding transcriptional dual regulator Rob,Regulation of ydcL by ppGpp
garPLRK-rnpB	TU482		Fnr DNA-binding-site regulating garPp
mipA	TU0-13400
yqfI	TU0-198737
bglX	TU0-7501
cfa	TU502	Regulation of cfa by small regulatory RNA CpxQ,Regulation of cfa by small regulatory RNA ArrS,Regulation of cfa by small regulatory RNA RydC
ydbK-ompN	TU0-41760
valVW	TU00493
rimP-nusA-infB	TU00311
dcyD-tcyLN	TU0-13453
aspV	TU00489		Fis DNA-binding-site 76 bases upstream of aspVp
yeaR-yoaG	TU0-13407
pdhR-aceEF-lpdA	TU00522		PdhR DNA-binding-site 19 bases downstream of pdhRp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 50.5 bases upstream of pdhRp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases upstream of pdhRp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 110.5 bases upstream of pdhRp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 377.5 bases upstream of pdhRp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 82.5 bases upstream of pdhRp2,CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 70.5 bases upstream of pdhRp2,Fnr DNA-binding-site 50.5 bases upstream of pdhRp2
lfgABCDE	TU0-13699	Regulation of lfgABCDE by antitoxin of the MqsRA TA system / DNA-binding transcriptional repressor MqsA
insH-10	TU0-8832
hokB	TU0-13255
sbp	TU0-14080
codBA	TU00197		Nac DNA-binding-site 58 bases upstream of codBp,PurR-hypoxanthine DNA-binding-site 36.5 bases upstream of codBp
pfkA	TU0-45239
ydhYVWXUT	TU0-14675
ykgR	TU0-14769
yjdN	TU0-14131
cirA	TU00014	Regulation of cirA by small regulatory RNA OmrB,Regulation of cirA by small regulatory RNA OmrA	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 118.5 bases downstream of cirAp1,DNA-binding transcriptional dual regulator Fur DNA-binding-site 17 bases upstream of cirAp1,DNA-binding transcriptional dual regulator Fur DNA-binding-site 35 bases upstream of cirAp1,DNA-binding transcriptional dual regulator Fur DNA-binding-site 29 bases upstream of cirAp1
ftsLIO-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	TU0-14445
mltF	TU0-8335		Rob DNA-binding-site regulating mltFp
ydcI	TU0-8700
yfhL	TU0-13669
htgA	TU00406
yadC	TU0-12818
ansB	TU0-6569
astCADBE	TU0-1003		ArgR-arg DNA-binding-site 121.5 bases upstream of astCp2,ArgR-arg DNA-binding-site 99.5 bases upstream of astCp2,ArgR-arg DNA-binding-site 78.5 bases upstream of astCp2,ArgR-arg DNA-binding-site 47.5 bases upstream of astCp2,NtrC-P<sup>asp</sup> DNA-binding-site 275 bases upstream of astCp2,NtrC-P<sup>asp</sup> DNA-binding-site 253 bases upstream of astCp2,NtrC-P<sup>asp</sup> DNA-binding-site 233 bases upstream of astCp2
yjdM	TU0-14132
narP	TU0-8819
elfDCG-ycbUVF	TU0-13095
yjeM	TU0-14147
yjhA	TU0-14323
yihQ	TU0-14066
insH-8	TU0-8835
yaiL	TU0-12901
btuE	TU0-44213
leuE	TU0-42526
yjgB	TU0-8616
elaA	TU0-13572
rem	TU0-13323
rrsE-gltV-rrlE-rrfE	TU0-45277		Fis DNA-binding-site 170 bases upstream of rrsEp3,Fis DNA-binding-site 143 bases upstream of rrsEp3,Fis DNA-binding-site 117 bases upstream of rrsEp3,Fis DNA-binding-site 101 bases upstream of rrsEp3,Fis DNA-binding-site 72 bases upstream of rrsEp3
yoaE	TU0-8643
yeeZ	TU0-13492	Regulation of yeeZ by DNA-binding transcriptional dual regulator Nac
osmF-yehYXW	TU0-14559
yecN-cmoAB	TU0-13443
hfq-hflXKC	TU0-14548
yebK	TU0-13439	Regulation of yebK by DNA-binding transcriptional repressor YebK
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	TU0-45227		Fis DNA-binding-site 174 bases upstream of rrsDp,Fis DNA-binding-site 144 bases upstream of rrsDp,Fis DNA-binding-site 126 bases upstream of rrsDp,Fis DNA-binding-site 91 bases upstream of rrsDp,Fis DNA-binding-site 71 bases upstream of rrsDp
nadE	TU0-13386	Regulation of nadE by small regulatory RNA CyaR
ycjW	TU0-8695
aqpZ	TU0-1106
cusRS	TU0-1822		CusR-P<SUP>asp</SUP> DNA-binding-site 57.5 bases upstream of cusRp
ybgD	TU0-13033
yhaI	TU0-13867	Regulation of yhaI by DNA-binding transcriptional dual regulator Nac
ycjXF-tyrR	TU0-14473
lit	TU0-8848
ydhR	TU0-13361
sdsR	TU0-13431
yjgA	TU0-8615
lgt-thyA	TU00295
arrS	TU0-36438
galK	TU0-42588
xdhABC	TU0-14792
ahpCF	TU00074		MetJ-SAM DNA-binding-site 27.5 bases downstream of ahpCp1,MetJ-SAM DNA-binding-site 17.5 bases downstream of ahpCp1,OxyR DNA-binding-site 77 bases upstream of dsbGp
fucR	TU0-14502
preTA	TU0-13538
cbrB	TU0-14026	Regulation of cbrB by DNA-binding transcriptional regulator CreB-phosphorylated
mioC	TU0-14030
tpiA	TU0-45203
otsBA	TU0-7722
oxc	TU0-13610
