Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation
MetJ-SAM DNA-binding-site 40.5 bases upstream of metBp	4128595.5d0	Regulation of metBp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine
LexA DNA-binding-site 27.5 bases upstream of dinGp	833045.5d0	Regulation of dinGp by DNA-binding transcriptional repressor LexA
PurR-hypoxanthine DNA-binding-site 191.5 bases downstream of purRp	1737879.5	Regulation of purRp by DNA-binding transcriptional repressor PurR-hypoxanthine
DNA-binding transcriptional dual regulator Fur DNA-binding-site regulating manXYZ-yobD		Regulation of manXYZ-yobD by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
IHF DNA-binding-site 33 bases downstream of ssuEp	997531	Regulation of ssuEp by DNA-binding transcriptional dual regulator IHF
ArcA-Pasp54 DNA-binding-site 64.5 bases downstream of ybdNp	636622.5	Regulation of ybdNp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
UxuR DNA-binding-site 93.5 bases downstream of uxuRp	4554550.5	Regulation of uxuRp by DNA-binding transcriptional repressor UxuR
IHF DNA-binding-site 83 bases upstream of nuoAp2	2405245	Regulation of nuoAp2 by DNA-binding transcriptional dual regulator IHF
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 71.5 bases upstream of glnAp1	4058293.5	Regulation of glnAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
ArgP DNA-binding-site 281.5 bases upstream of nrdAp	2344473.5	Regulation of nrdAp by DNA-binding transcriptional dual regulator ArgP
Fnr DNA-binding-site 126.5 bases upstream of ompWp	1313864.5	Regulation of ompWp by DNA-binding transcriptional dual regulator FNR
YjjQ DNA-binding-site 11 bases downstream of flhDp	1978385	Regulation of flhDp by DNA-binding transcriptional repressor YjjQ
HU DNA-binding-site 6.5 bases downstream of galEp	792075.5	Regulation of galEp by DNA-binding transcriptional dual regulator HU // Regulation of galEp1 by DNA-binding transcriptional dual regulator HU
XylR-xylose DNA-binding-site 41.5 bases upstream of xylAp	3730848.5d0	Regulation of xylAp by DNA-binding transcriptional dual regulator XylR-alpha-D-xylopyranose
H-NS DNA-binding-site 6 bases upstream of hlyEp	1230472	Regulation of hlyEp by DNA-binding transcriptional dual regulator H-NS // Regulation of hlyEp by DNA-binding transcriptional dual regulator H-NS
IHF DNA-binding-site 77 bases downstream of fimAp	4542770	Regulation of fimAp by DNA-binding transcriptional dual regulator IHF
ArgR-arg DNA-binding-site 8.5 bases upstream of carAp2	29610.5	Regulation of carAp2 by ArgR-L-arginine DNA-binding transcriptional dual regulator
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 42.5 bases upstream of csgDp3	1103386.5	Regulation of csgDp3 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of csgDp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 60.5 bases upstream of rspAp	1655231.5	Regulation of rspAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
FadR DNA-binding-site 4 bases downstream of fadHp	3231627	Regulation of fadHp by DNA-binding transcriptional dual regulator FadR
Nac DNA-binding-site regulating yccM	1053215	Regulation of yccM by DNA-binding transcriptional dual regulator Nac
FhlA-formate DNA-binding-site 130 bases upstream of hyfAp	2601041	Regulation of hyfAp by FhlA-formate DNA-binding transcriptional activator
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of frlAp1	3499794.5	Regulation of frlAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
DnaA-ATP DNA-binding-site 57 bases upstream of dnaAp2	3883939	Regulation of dnaAp2 by DnaA-ATP // Regulation of dnaAp1 by DnaA-ATP
DinJ-YafQ DNA-binding-site 89.5 bases downstream of dinJp	246526.5	Regulation of dinJp by DinJ-YafQ antitoxin/toxin complex / DNA-binding transcriptional repressor
PdhR DNA-binding-site 177 bases upstream of cyoAp	451830	Regulation of cyoAp by DNA-binding transcriptional dual regulator PdhR
Nac DNA-binding-site regulating wecH	3725803	Regulation of wecH by DNA-binding transcriptional dual regulator Nac
Fis DNA-binding-site 181 bases upstream of rrsHp	223304	Regulation of rrsHp by DNA-binding transcriptional dual regulator Fis // Regulation of rrsHp1 by DNA-binding transcriptional dual regulator Fis
Fis DNA-binding-site 52 bases upstream of bglGp1	3906749	Regulation of bglGp1 by DNA-binding transcriptional dual regulator Fis
Ada DNA-binding-site 41.5 bases upstream of alkAp2	2147600.5	Regulation of alkAp2 by DNA-binding transcriptional dual regulator / DNA repair protein Ada // Regulation of alkAp by DNA-binding transcriptional dual regulator / DNA repair protein Ada
GadX DNA-binding-site 115.5 bases upstream of hdeDp2	3656844.5	Regulation of hdeDp2 by DNA-binding transcriptional dual regulator GadX // Regulation of hdeAp2 by DNA-binding transcriptional dual regulator GadX // Regulation of hdeAp2 by DNA-binding transcriptional dual regulator GadX // Regulation of hdeAp by DNA-binding transcriptional dual regulator GadX // Regulation of hdeDp by DNA-binding transcriptional dual regulator GadX // Regulation of hdeAp by DNA-binding transcriptional dual regulator GadX
IHF DNA-binding-site 107 bases upstream of glcDp	3128183	Regulation of glcDp by DNA-binding transcriptional dual regulator IHF
MarR DNA-binding-site 18 bases upstream of marRp	1619075	Regulation of marRp by DNA-binding transcriptional repressor MarR
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 42.5 bases upstream of yeiWp	2265372.5	Regulation of yeiWp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of yeiPp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
DnaA-ATP DNA-binding-site 13 bases downstream of yjeVp	4392748	Regulation of yjeVp by DnaA-ATP
GlpR DNA-binding-site 333.5 bases downstream of glpTQp	2352118.5	Regulation of glpTQp by DNA-binding transcriptional repressor GlpR
DNA-binding transcriptional dual regulator Fur DNA-binding-site 78 bases downstream of rcnAp	2185904	Regulation of rcnAp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
HipAB DNA-binding-site 85.5 bases upstream of hipBp	1592567.5	Regulation of hipBp by HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor
DNA-binding transcriptional dual regulator Fur DNA-binding-site 61 bases upstream of nrdHp	2800595	Regulation of nrdHp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator // Regulation of ygaCp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 64.5 bases downstream of sodBp	1735386.5	Regulation of sodBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
DNA-binding transcriptional dual regulator Fur DNA-binding-site 19 bases upstream of yqjHp	3216557	Regulation of yqjHp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
Lrp DNA-binding-site 66.5 bases upstream of kblp	3792643.5d0	Regulation of kblp by DNA-binding transcriptional dual regulator Lrp
MelR-melibiose DNA-binding-site 100.5 bases upstream of melAp	4341786.5	Regulation of melAp by DNA-binding transcriptional activator MelR-melibiose // Regulation of melRp by DNA-binding transcriptional activator MelR-melibiose
CpxR-phosphorylated DNA-binding-site 54.5 bases upstream of efeUp	1081252.5	Regulation of efeUp by DNA-binding transcriptional dual regulator CpxR-phosphorylated
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of nupGp	3105610.5	Regulation of nupGp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
IHF DNA-binding-site 74 bases upstream of nuoAp2	2405236	Regulation of nuoAp2 by DNA-binding transcriptional dual regulator IHF
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating yahN	346367.5	Regulation of yahN by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
PhoP-Pasp51 DNA-binding-site 33 bases upstream of borDp	578954	Regulation of borDp by DNA-binding transcriptional dual regulator PhoP-phosphorylated
Nac DNA-binding-site regulating yedL	2010196	Regulation of yedL by DNA-binding transcriptional dual regulator Nac
HipB DNA-binding-site 57.5 bases upstream of hipBp	1592539.5	Regulation of hipBp by antitoxin/DNA-binding transcriptional repressor HipB
MetJ-SAM DNA-binding-site 49.5 bases downstream of folEp	2243799.5	Regulation of folEp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 86 bases upstream of serCp1	957509	Regulation of serCp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
Rob DNA-binding-site 40.5 bases upstream of sodAp	4100718.5	Regulation of sodAp by DNA-binding transcriptional dual regulator Rob
H-NS DNA-binding-site regulating nrdDp		Regulation of nrdDp by DNA-binding transcriptional dual regulator H-NS
Fis DNA-binding-site 78 bases upstream of tyrTp	1287743	Regulation of tyrTp by DNA-binding transcriptional dual regulator Fis
NtrC-Pasp DNA-binding-site 96 bases upstream of yhdWp	3418876	Regulation of yhdWp by DNA-binding transcriptional dual regulator NtrC-phosphorylated
DNA-binding transcriptional dual regulator Fur DNA-binding-site 28 bases upstream of fesp	612659	Regulation of fesp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator // Regulation of fepAp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
ArcA-Pasp54 DNA-binding-site 67 bases upstream of hyaAp2	1031917	Regulation of hyaAp2 by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of hyaAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 43.5 bases upstream of tdcAp	3267136.5d0	Regulation of tdcAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
DnaA-ATP DNA-binding-site 27 bases upstream of uvrBp3	813125	Regulation of uvrBp3 by DnaA-ATP
YebK DNA-binding-site regulating yebK		Regulation of yebK by DNA-binding transcriptional repressor YebK
CpxR-phosphorylated DNA-binding-site 127.5 bases upstream of acrDp2	2587422.5	Regulation of acrDp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated
DNA-binding transcriptional dual regulator Fur DNA-binding-site 4 bases upstream of fecIp	4518286	Regulation of fecIp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
RbsR DNA-binding-site 20.5 bases upstream of purHp	4207647.5	Regulation of purHp by DNA-binding transcriptional dual regulator RbsR
IHF DNA-binding-site 186.5 bases upstream of fliAp1	2002005.5	Regulation of fliAp1 by DNA-binding transcriptional dual regulator IHF
OmpR-P DNA-binding-site regulating narUZYWV	1544233.5	Regulation of narUZYWV by DNA-binding transcriptional dual regulator OmpR-phosphorylated
Rob DNA-binding-site regulating mdaB	3172462	Regulation of mdaB by DNA-binding transcriptional dual regulator Rob
Fis DNA-binding-site 4 bases upstream of msrAp	4442265	Regulation of msrAp by DNA-binding transcriptional dual regulator Fis
Ada DNA-binding-site 58.5 bases upstream of adap2	2310485.5	Regulation of adap2 by DNA-binding transcriptional dual regulator / DNA repair protein Ada // Regulation of adap by DNA-binding transcriptional dual regulator / DNA repair protein Ada
IHF DNA-binding-site 52 bases upstream of rtcBp	3558159	Regulation of rtcBp by DNA-binding transcriptional dual regulator IHF
Cra DNA-binding-site 55.5 bases upstream of ptsHp1	2533552.5	Regulation of ptsHp1 by DNA-binding transcriptional dual regulator Cra // Regulation of ptsHp2 by DNA-binding transcriptional dual regulator Cra
Fis DNA-binding-site 90 bases upstream of glcCp	3128116	Regulation of glcCp by DNA-binding transcriptional dual regulator Fis
Fnr DNA-binding-site regulating acrEp		Regulation of acrEp by DNA-binding transcriptional dual regulator FNR
PhoB-Pasp53 DNA-binding-site 30 bases upstream of ugpBp1	3592408	Regulation of ugpBp1 by DNA-binding transcriptional dual regulator PhoB-phosphorylated
MarA DNA-binding-site 39 bases upstream of hdeAp2	3656830	Regulation of hdeAp2 by DNA-binding transcriptional dual regulator MarA // Regulation of hdeAp by DNA-binding transcriptional dual regulator MarA
LexA DNA-binding-site 9 bases upstream of lexAp	4257078	Regulation of lexAp by DNA-binding transcriptional repressor LexA
OmpR-P DNA-binding-site 18.5 bases downstream of flhDp	1978377.5	Regulation of flhDp by DNA-binding transcriptional dual regulator OmpR-phosphorylated
GatR DNA-binding-site regulating gatYp		Regulation of gatYp by DNA-binding transcriptional repressor GatR, N-terminal fragment
FadR DNA-binding-site 38 bases upstream of accAp2	208288	Regulation of accAp2 by DNA-binding transcriptional dual regulator FadR
EvgA-Pasp DNA-binding-site 75.5 bases upstream of yfdXp	2494508.5	Regulation of yfdXp by DNA-binding transcriptional activator EvgA-phosphorylated
MalI DNA-binding-site 16.5 bases upstream of malXp	1699296.5	Regulation of malXp by DNA-binding transcriptional repressor MalI
NtrC-Pasp DNA-binding-site 68 bases upstream of glnAp2	4058175	Regulation of glnAp2 by DNA-binding transcriptional dual regulator NtrC-phosphorylated // Regulation of glnAp1 by DNA-binding transcriptional dual regulator NtrC-phosphorylated
IHF DNA-binding-site regulating adiAp		Regulation of adiAp by DNA-binding transcriptional dual regulator IHF
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 92.5 bases upstream of manXp	1901840.5	Regulation of manXp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
H-NS DNA-binding-site regulating ydePp		Regulation of ydePp by DNA-binding transcriptional dual regulator H-NS
CytR DNA-binding-site 76.5 bases upstream of nupGp	3105574.5	Regulation of nupGp by DNA-binding transcriptional repressor CytR
FhlA-formate DNA-binding-site 104.5 bases upstream of fdhFp	4299511.5	Regulation of fdhFp by FhlA-formate DNA-binding transcriptional activator
HipB DNA-binding-site 85.5 bases upstream of hipBp	1592567.5	Regulation of hipBp by antitoxin/DNA-binding transcriptional repressor HipB
ArgP-arginine DNA-binding-site 16.5 bases upstream of argPp	3059713.5	Regulation of argPp by ArgP-L-arginine  DNA-binding transcriptional dual regulator
NanR DNA-binding-site 727.5 bases upstream of fimBp2	4539939.5	Regulation of fimBp2 by DNA-binding transcriptional dual regulator NanR // Regulation of nanCp by DNA-binding transcriptional dual regulator NanR
TrpR-trp DNA-binding-site 0.5 bases upstream of trpRp	4632703.5	Regulation of trpRp by DNA-binding transcriptional repressor TrpR-L-tryptophan
AccB DNA-binding-site regulating accBp1		Regulation of accBp1 by biotin carboxyl carrier protein (dimer)
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 132.5 bases upstream of yjiYp	4591499.5	Regulation of yjiYp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
LexA DNA-binding-site 20.5 bases upstream of uvrBp2	813441.5	Regulation of uvrBp2 by DNA-binding transcriptional repressor LexA // Regulation of uvrBp1 by DNA-binding transcriptional repressor LexA
LexA DNA-binding-site 81.5 bases upstream of hokEp	607649.5	Regulation of hokEp by DNA-binding transcriptional repressor LexA
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of grcAp1	2716563.5	Regulation of grcAp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
OxyR DNA-binding-site 40 bases upstream of uofp	710869	Regulation of uofp by DNA-binding transcriptional dual regulator OxyR
Nac DNA-binding-site regulating fumD	1755147	Regulation of fumD by DNA-binding transcriptional dual regulator Nac
GlcC-glycolate DNA-binding-site 176 bases upstream of glcDp	3128252	Regulation of glcDp by GlcC-glycolate DNA-binding transcriptional dual regulator // Regulation of glcCp by GlcC-glycolate DNA-binding transcriptional dual regulator
Fnr DNA-binding-site 64.5 bases upstream of nrdDp	4462902.5	Regulation of nrdDp by DNA-binding transcriptional dual regulator FNR
Nac DNA-binding-site regulating mltD	234223	Regulation of mltD by DNA-binding transcriptional dual regulator Nac
RcnR DNA-binding-site 51.5 bases downstream of rcnRp	2185852.5	Regulation of rcnRp by DNA-binding transcriptional repressor RcnR // Regulation of rcnAp by DNA-binding transcriptional repressor RcnR
ArcA-Pasp54 DNA-binding-site 68 bases downstream of ndhp	1166059	Regulation of ndhp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
NarL-Pasp59 DNA-binding-site 39 bases upstream of yeaRp	1880033	Regulation of yeaRp by DNA-binding transcriptional dual regulator NarL-phosphorylated
Fnr DNA-binding-site 61.5 bases upstream of hlyEp	1230527.5d0	Regulation of hlyEp by DNA-binding transcriptional dual regulator FNR
DNA-binding transcriptional activator XapR DNA-binding-site 119 bases upstream of xapAp2	2525029	Regulation of xapAp2 by XapR-xanthosine DNA-binding transcriptional activator // Regulation of xapAp by XapR-xanthosine DNA-binding transcriptional activator
LldR DNA-binding-site 97 bases upstream of lldPp	3777192	Regulation of lldPp by DNA-binding transcriptional dual regulator LldR // Regulation of lldPp by DNA-binding transcriptional dual regulator LldR-S-lactate
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 126.5 bases upstream of fixAp	42198.5	Regulation of fixAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
YhaJ DNA-binding-site regulating yhaKL		Regulation of yhaKL by DNA-binding transcriptional activator YhaJ
YgfI DNA-binding-site regulating yfdPQ (BS0-10660)	2473466	Regulation of yfdPQ by DNA-binding transcriptional activator YgfI // Regulation of yfdONMLK by DNA-binding transcriptional activator YgfI
Fnr DNA-binding-site 40.5 bases upstream of aspAp	4368472.5	Regulation of aspAp by DNA-binding transcriptional dual regulator FNR
Fis DNA-binding-site 30 bases upstream of topAp1	1330950	Regulation of topAp1 by DNA-binding transcriptional dual regulator Fis
ArcA-Pasp54 DNA-binding-site 44 bases upstream of cydDp	931075	Regulation of cydDp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
DNA-binding transcriptional dual regulator Fur DNA-binding-site 2 bases downstream of nohAp	1636602	Regulation of nohAp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
FadR DNA-binding-site 49 bases upstream of accBp2	3405123	Regulation of accBp2 by DNA-binding transcriptional dual regulator FadR
RcsB-BglJ DNA-binding-site 58.5 bases upstream of leuOp2	84245.5	Regulation of leuOp2 by RcsB-BglJ DNA-binding transcriptional activator
Lrp DNA-binding-site 59 bases downstream of ompCp3	2312829	Regulation of ompCp3 by DNA-binding transcriptional dual regulator Lrp // Regulation of ompCp2 by DNA-binding transcriptional dual regulator Lrp // Regulation of ompCp1 by DNA-binding transcriptional dual regulator Lrp
ArcA-Pasp54 DNA-binding-site 18 bases upstream of lldPp	3777271	Regulation of lldPp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
NarL-Pasp59 DNA-binding-site 22 bases upstream of nrfAp	4287649	Regulation of nrfAp by DNA-binding transcriptional dual regulator NarL-phosphorylated
PutA DNA-binding-site 21.5 bases upstream of putAp	1078946.5	Regulation of putAp by fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA
DNA-binding transcriptional dual regulator Fur DNA-binding-site 14 bases upstream of uxaBp	1610734	Regulation of uxaBp by Fur-a [2Fe-2S] iron-sulfur cluster DNA-binding transcriptional dual regulator
Nac DNA-binding-site 44 bases upstream of gabDp	2791128	Regulation of gabDp by DNA-binding transcriptional dual regulator Nac // Regulation of gabDp1 by DNA-binding transcriptional dual regulator Nac
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 122.5 bases upstream of proPp2	4330284.5d0	Regulation of proPp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
IscR DNA-binding-site 28 bases upstream of erpAp	176533	Regulation of erpAp by DNA-binding transcriptional dual regulator IscR
Fis DNA-binding-site 156 bases upstream of carAp1	29395	Regulation of carAp1 by DNA-binding transcriptional dual regulator Fis
Nac DNA-binding-site regulating dcp	1627415	Regulation of dcp by DNA-binding transcriptional dual regulator Nac
MetJ-SAM DNA-binding-site 25.5 bases downstream of folEp	2243823.5	Regulation of folEp by DNA-binding transcriptional repressor MetJ-S-adenosyl-L-methionine
XylR-xylose DNA-binding-site 19.5 bases upstream of araCp	70203.5	Regulation of araCp by DNA-binding transcriptional dual regulator XylR-alpha-D-xylopyranose
Fis DNA-binding-site 82 bases upstream of xylFp	3730987	Regulation of xylFp by DNA-binding transcriptional dual regulator Fis
Fis DNA-binding-site 62 bases upstream of gyrBp2	3880212	Regulation of gyrBp2 by DNA-binding transcriptional dual regulator Fis // Regulation of gyrBp by DNA-binding transcriptional dual regulator Fis
CytR DNA-binding-site 87 bases upstream of udpP	4016304	Regulation of udpP by DNA-binding transcriptional repressor CytR
FadR DNA-binding-site 9 bases downstream of fadLp	2461213	Regulation of fadLp by DNA-binding transcriptional dual regulator FadR
Nac DNA-binding-site regulating yfdE	2489124	Regulation of yfdE by DNA-binding transcriptional dual regulator Nac
Lrp DNA-binding-site 161 bases upstream of gcvTp	3050933	Regulation of gcvTp by DNA-binding transcriptional dual regulator Lrp
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 64 bases upstream of manAp	1688487	Regulation of manAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of fumAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
CpxR-phosphorylated DNA-binding-site 223 bases upstream of degPp	180622	Regulation of degPp by DNA-binding transcriptional dual regulator CpxR-phosphorylated
Fis DNA-binding-site 76 bases upstream of proKp	3708770	Regulation of proKp by DNA-binding transcriptional dual regulator Fis
DinJ-YafQ DNA-binding-site 43.5 bases upstream of cspEp1	657103.5	Regulation of cspEp1 by DinJ-YafQ antitoxin/toxin complex / DNA-binding transcriptional repressor
AtoC-P DNA-binding-site 138.5 bases upstream of atoDp	2323273.5	Regulation of atoDp by DNA-binding transcriptional activator AtoC-phosphorylated
phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 188 bases upstream of pdhRp2	121846	Regulation of pdhRp2 by phosphorylated DNA-binding transcriptional dual regulator BtsR // Regulation of pdhRp by phosphorylated DNA-binding transcriptional dual regulator BtsR
ArgP DNA-binding-site regulating lysCp1		Regulation of lysCp1 by DNA-binding transcriptional dual regulator ArgP
PhoB-Pasp53 DNA-binding-site 53 bases upstream of psiEp	4240247	Regulation of psiEp by DNA-binding transcriptional dual regulator PhoB-phosphorylated
Cra DNA-binding-site 332.5 bases upstream of sgrSp2	77034.5	Regulation of sgrSp2 by DNA-binding transcriptional dual regulator Cra // Regulation of sgrSp by DNA-binding transcriptional dual regulator Cra
MalT-maltotriose-ATP DNA-binding-site 61.5 bases upstream of malSp	3737408.5	Regulation of malSp by DNA-binding transcriptional activator MalT-maltotriose-ATP
Nac DNA-binding-site regulating uspC	1979640	Regulation of uspC by DNA-binding transcriptional dual regulator Nac
Fis DNA-binding-site 58 bases upstream of queAp	424927	Regulation of queAp by DNA-binding transcriptional dual regulator Fis
AgaR DNA-binding-site 75.5 bases upstream of kbaZp	3278790.5	Regulation of kbaZp by DNA-binding transcriptional repressor AgaR
Fis DNA-binding-site 143 bases downstream of ptsGp2	1157768	Regulation of ptsGp1 by DNA-binding transcriptional dual regulator Fis // Regulation of ptsGp2 by DNA-binding transcriptional dual regulator Fis // Regulation of ptsGp1 by DNA-binding transcriptional dual regulator Fis
GadE DNA-binding-site regulating lrpp		Regulation of lrpp by DNA-binding transcriptional activator GadE
GadE DNA-binding-site 63.5 bases upstream of gadEp2	3658281.5	Regulation of gadEp2 by DNA-binding transcriptional activator GadE
CueR DNA-binding-site 202 bases downstream of moaAp1	817028	Regulation of moaAp1 by DNA-binding transcriptional dual regulator CueR-Cu+
Nac DNA-binding-site 51 bases downstream of prfCp	4609408	Regulation of prfC by DNA-binding transcriptional dual regulator Nac
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 55.5 bases upstream of glnAp2	4058162.5	Regulation of glnAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
PhoP-Pasp51 DNA-binding-site 4 bases upstream of slyBp2	1719744	Regulation of slyBp2 by DNA-binding transcriptional dual regulator PhoP-phosphorylated // Regulation of slyBp1 by DNA-binding transcriptional dual regulator PhoP-phosphorylated
CpxR-phosphorylated DNA-binding-site 50 bases upstream of spyp	1825738	Regulation of spyp by DNA-binding transcriptional dual regulator CpxR-phosphorylated
NhaR-Na+ DNA-binding-site regulating rrsDp1		Regulation of rrsDp1 by NhaR-Na+ DNA-binding transcriptional activator
OxyR DNA-binding-site 50 bases upstream of ybjCp	890842	Regulation of ybjCp by DNA-binding transcriptional dual regulator OxyR // Regulation of grxAp by DNA-binding transcriptional dual regulator OxyR
GadE DNA-binding-site 40 bases upstream of yjbQp	4270174	Regulation of yjbQp by DNA-binding transcriptional activator GadE
OmpR DNA-binding-site regulating cadBp		Regulation of cadBp by OmpR dimer
CpxR-phosphorylated DNA-binding-site regulating yjfN		Regulation of yjfN by DNA-binding transcriptional dual regulator CpxR-phosphorylated
Fnr DNA-binding-site 45.5 bases upstream of frdAp2	4382457.5	Regulation of frdAp2 by DNA-binding transcriptional dual regulator FNR // Regulation of frdAp by DNA-binding transcriptional dual regulator FNR
ArcA-Pasp54 DNA-binding-site 137 bases upstream of sdhCp	754821	Regulation of sdhCp by DNA-binding transcriptional dual regulator ArcA-phosphorylated
NarP-Pasp59 DNA-binding-site 48 bases upstream of yeaRp	1880042	Regulation of yeaRp by DNA-binding transcriptional dual regulator NarP-phosphorylated
GalS-galactose DNA-binding-site 178.5 bases upstream of galPp	3088076.5	Regulation of galPp by GalS-D-galactose
Fis DNA-binding-site 31 bases upstream of osmEp2	1822314	Regulation of osmEp2 by DNA-binding transcriptional dual regulator Fis // Regulation of osmEp by DNA-binding transcriptional dual regulator Fis
Lrp-leu DNA-binding-site 6.5 bases upstream of leuEp	1880806.5	Regulation of leuEp by DNA-binding transcriptional dual regulator Lrp-L-leucine
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 60.5 bases upstream of treBp	4466270.5	Regulation of treBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
TyrR DNA-binding-site 51.5 bases upstream of tyrRp	1386640.5	Regulation of tyrRp by DNA-binding transcriptional dual regulator TyrR
IHF DNA-binding-site 61 bases upstream of sodBp	1735262	Regulation of sodBp by DNA-binding transcriptional dual regulator IHF
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating fucAp		Regulation of fucAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
NsrR DNA-binding-site 131 bases downstream of pgpCp	2698508	Regulation of pgpCp by DNA-binding transcriptional dual regulator NsrR
TrpR-trp DNA-binding-site 11.5 bases upstream of trpLp	1323119.5	Regulation of trpLp by DNA-binding transcriptional repressor TrpR-L-tryptophan
NarL-Pasp59 DNA-binding-site 112 bases upstream of aspAp	4368544	Regulation of aspAp by DNA-binding transcriptional dual regulator NarL-phosphorylated
Fis DNA-binding-site 158 bases upstream of aldBp	3756693	Regulation of aldBp by DNA-binding transcriptional dual regulator Fis
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of glgSp1	3192052.5	Regulation of glgSp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 73.5 bases upstream of tsxp2	432164.5	Regulation of tsxp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator // Regulation of tsxp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 127 bases upstream of exuRp2	3246491	Regulation of exuRp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
RcnR DNA-binding-site 31.5 bases downstream of rcnRp	2185872.5	Regulation of rcnRp by DNA-binding transcriptional repressor RcnR // Regulation of rcnAp by DNA-binding transcriptional repressor RcnR
