Gene ID (EcoCyc),Gene name,Enzyme encoded,Pathways,Pathways parent,Protein products,Reactions
EG10251,dut,DUTP-PYROP-CPLX,"['PWY0-166', 'PWY-7184', 'PWY-7206', 'PWY-7187']","['Pyrimid-Deoxyribonucleot-De-Novo-Biosyn', 'Super-Pathways', 'Metabolic-Clusters', 'Pyrimid-Deoxyribonucleot-De-Novo-Biosyn', 'Metabolic-Clusters', 'Pyrimidine-Deoxyribonucleosides-Deg', 'Pyrimid-Deoxyribonucleot-De-Novo-Biosyn']",DUTP-PYROP-MONOMER,['DUTP-PYROP-RXN']
G6237,dxs,CPLX0-743,"['PYRIDOXSYN-PWY', 'PWY-6892', 'NONMEVIPP-PWY']","['Vitamin-B6-Biosynthesis', 'Thiazole-Biosynthesis', 'MEP-Pathways']",DXS-MONOMER,['DXS-RXN']
EG11639,eamA,EG11639-MONOMER,,,EG11639-MONOMER,"['RXN0-1924', 'RXN0-1923']"
EG12445,eamB,EG12445-MONOMER,,,EG12445-MONOMER,"['RXN0-1924', 'RXN0-1923']"
EG10256,eda,KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX,"['PWY-7242', 'GALACTUROCAT-PWY', 'ENTNER-DOUDOROFF-PWY']","['SUGAR-ACIDS-DEG', 'D-Galacturonate-Degradation', 'Entner-Duodoroff-Pathways']",KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER,"['KDPGALDOL-RXN', 'RXN-13990', 'OXALODECARB-RXN']"
EG10257,edd,PGLUCONDEHYDRAT-MONOMER,ENTNER-DOUDOROFF-PWY,Entner-Duodoroff-Pathways,PGLUCONDEHYDRAT-MONOMER,['PGLUCONDEHYDRAT-RXN']
EG11735,efeB,CPLX0-7810,,,EG11735-MONOMER,['PROTOHEMEFERROCHELAT-RXN']
G6622,emtA,G6622-MONOMER,PWY0-1261,Anhydromuropeptides-Recycling,G6622-MONOMER,"['RXN-17392', 'RXN-17391']"
EG10258,eno,ENOLASE-CPLX,"['GLUCONEO-PWY', 'PWY-5484', 'GLYCOLYSIS']","['Gluconeogenesis', 'GLYCOLYSIS-VARIANTS', 'GLYCOLYSIS-VARIANTS']",ENOLASE-MONOMER,['2PGADEHYDRAT-RXN']
EG10259,entA,ENTA-CPLX,PWY-5901,AROMATIC-COMPOUNDS-BIOSYN,ENTA-MONOMER,['DHBDEHYD-RXN']
EG10261,entC,ENTC-MONOMER,PWY-5901,AROMATIC-COMPOUNDS-BIOSYN,ENTC-MONOMER,['ISOCHORSYN-RXN']
EG10262,entD,"['ENTMULTI-CPLX', 'ENTD-MONOMER']",ENTBACSYN-PWY,"['Siderophores-Biosynthesis', 'Super-Pathways']",ENTD-MONOMER,"['ENTMULTI-RXN', 'RXN-19445', 'DHBAMPLIG-RXN', 'RXN0-6442', 'ENTF-RXN', 'RXN-15890', 'RXN-15891', 'ENTG-RXN', 'RXN-15889', 'ENTDB-RXN']"
EG10263,entE,"['ENTMULTI-CPLX', 'ENTE-CPLX']",ENTBACSYN-PWY,"['Siderophores-Biosynthesis', 'Super-Pathways']",ENTE-MONOMER,"['ENTMULTI-RXN', 'ENTF-RXN', 'RXN-15890', 'RXN-15891', 'ENTG-RXN', 'RXN-19445', 'DHBAMPLIG-RXN', 'RXN0-6442', 'RXN0-5208']"
EG11105,entH,CPLX0-7766,,,EG11105-MONOMER,"['RXN0-7105', 'RXN0-7046']"
EG11104,entS,YBDA-MONOMER,,,YBDA-MONOMER,['TRANS-RXN0-496']
EG10368,epd,ERYTH4PDEHYDROG-CPLX,PYRIDOXSYN-PWY,Vitamin-B6-Biosynthesis,ERYTH4PDEHYDROG-MONOMER,['ERYTH4PDEHYDROG-RXN']
EG12267,eptB,EG12267-MONOMER,,,EG12267-MONOMER,"['RXN-22561', 'RXN-16286', 'RXN0-4581']"
G7288,eutD,CPLX0-7912,"['PWY0-1312', 'PWY0-1477', 'PWY-5485', 'FERMENTATION-PWY']","['Acetate-Formation', 'AMINE-DEG', 'Pyruvate-Acetate-Fermentation', 'Super-Pathways', 'Fermentation-to-Acids', 'Pyruvate-Ethanol-Fermentation', 'Super-Pathways']",G7288-MONOMER,['PHOSACETYLTRANS-RXN']
G7285,eutE,G7285-MONOMER,"['ETOH-ACETYLCOA-ANA-PWY', 'PWY-5436', 'PWY-5162', 'PWY-7180', 'PWY0-1477', 'PWY-5480', 'FERMENTATION-PWY']","['Ethanol-Degradation', 'THREONINE-DEG', 'CARBOXYLATES-DEG', 'Sugar-Derivatives', 'AMINE-DEG', 'Pyruvate-Ethanol-Fermentation', 'Fermentation-to-Acids', 'Pyruvate-Ethanol-Fermentation', 'Super-Pathways']",G7285-MONOMER,['ACETALD-DEHYDROG-RXN']
EG10271,exbB,"['CPLX0-1924', 'CPLX0-1941', 'CPLX0-1942', 'CPLX0-1943', 'CPLX0-7952', 'CPLX0-8541', 'CPLX0-9372']",,,EG10271-MONOMER,"['RXN0-1565', 'TRANS-RXN0-283', 'TRANS-RXN-1592', 'RXN0-1682', 'RXN0-1701', 'RXN0-1684', 'RXN0-1702', 'RXN0-1721', 'TRANS-RXN0-629']"
EG10272,exbD,"['CPLX0-1924', 'CPLX0-1941', 'CPLX0-1942', 'CPLX0-1943', 'CPLX0-7952', 'CPLX0-8541', 'CPLX0-9372']",,,EG10272-MONOMER,"['RXN0-1565', 'TRANS-RXN0-283', 'TRANS-RXN-1592', 'RXN0-1682', 'RXN0-1701', 'RXN0-1684', 'RXN0-1702', 'RXN0-1721', 'TRANS-RXN0-629']"
EG12738,exuT,EXUT-MONOMER,,,EXUT-MONOMER,"['TRANS-RXN-123', 'TRANS-RXN-35']"
EG10273,fabA,FABA-CPLX,"['PWY-6282', 'FASYN-ELONG-PWY', 'PWY0-862']","['Palmitoleate-Biosynthesis', 'Fatty-acid-biosynthesis', '5Z-Dodec-5-enoate-Biosynthesis']",FABA-MONOMER,"['RXN-10660', 'RXN-10656', 'RXN-9533', 'RXN-9520', '4.2.1.58-RXN', '4.2.1.61-RXN', 'RXN-9655', '4.2.1.59-RXN', 'RXN-9537', '3-HYDROXYDECANOYL-ACP-DEHYDR-RXN', '5.3.3.14-RXN']"
EG10274,fabB,FABB-CPLX,"['PWY0-862', 'PWY-5966', 'PWY-5973', 'PWY-5971', 'PWY-6282', 'FASYN-ELONG-PWY', 'PWY-6519', 'PWY-5965']","['5Z-Dodec-5-enoate-Biosynthesis', 'Fatty-Acid-Biosyn-Initiation', 'Unsaturated-Fatty-Acids-Biosynthesis', 'Palmitate-Biosynthesis', 'Palmitoleate-Biosynthesis', 'Fatty-acid-biosynthesis', '7-Keto-8-aminopelargonate-Biosynthesis', 'Fatty-Acid-Biosyn-Initiation']",FABB-MONOMER,"['2.3.1.41-RXN', 'RXN-10654', 'RXN0-2141', '3-OXOACYL-ACP-SYNTH-BASE-RXN', 'RXN-10658', 'RXN-9527', 'RXN-9531', 'RXN-9523', 'RXN-9516', 'RXN-9539', 'RXN-9535', '2.3.1.179-RXN', '3-OXOACYL-ACP-SYNTH-RXN', 'RXN-11479', 'MALONYL-ACPDECARBOX-RXN']"
EG11317,fabD,MALONYL-COA-ACP-TRANSACYL-MONOMER,PWY-4381,Fatty-Acid-Biosyn-Initiation,MALONYL-COA-ACP-TRANSACYL-MONOMER,['MALONYL-COA-ACP-TRANSACYL-RXN']
EG11318,fabG,CPLX0-8005,"['PWY-5973', 'FASYN-ELONG-PWY', 'PWY0-862', 'PWY-6282', 'PWY-6519', 'PWY-5971']","['Unsaturated-Fatty-Acids-Biosynthesis', 'Fatty-acid-biosynthesis', '5Z-Dodec-5-enoate-Biosynthesis', 'Palmitoleate-Biosynthesis', '7-Keto-8-aminopelargonate-Biosynthesis', 'Palmitate-Biosynthesis']",3-OXOACYL-ACP-REDUCT-MONOMER,"['RXN-9518', 'RXN-9528', 'RXN-9540', 'RXN-9556', 'RXN-9536', 'RXN-9532', 'RXN-9524', '3-OXOACYL-ACP-REDUCT-RXN', 'RXN0-2142', 'RXN-10655', 'RXN-10659', 'RXN-11480', 'RXN-11476', 'RXN-9514']"
EG10277,fabH,CPLX0-252,"['PWY-4381', 'PWY-5966']","['Fatty-Acid-Biosyn-Initiation', 'Fatty-Acid-Biosyn-Initiation']",FABH-MONOMER,"['2.3.1.180-RXN', 'ACP-S-ACETYLTRANSFER-RXN']"
EG11528,fabI,CPLX0-8006,"['PWY-5973', 'PWY0-862', 'PWY-6282', 'PWY-6519', 'PWY-5971', 'FASYN-ELONG-PWY']","['Unsaturated-Fatty-Acids-Biosynthesis', '5Z-Dodec-5-enoate-Biosynthesis', 'Palmitoleate-Biosynthesis', '7-Keto-8-aminopelargonate-Biosynthesis', 'Palmitate-Biosynthesis', 'Fatty-acid-biosynthesis']",ENOYL-ACP-REDUCT-NADH-MONOMER,"['1.3.1.9-RXN', 'RXN-9558', 'ENOYL-ACP-REDUCT-NADH-RXN', 'RXN0-2145', 'RXN-10661', 'RXN-10657', 'RXN-11482', 'RXN-11478', 'RXN-9657', 'RXN-9658', 'RXN-9659', 'RXN-9660', 'RXN-9661', 'RXN-9662', 'RXN-9663', 'ENOYL-ACP-REDUCT-NADPH-RXN']"
EG11284,fabZ,FABZ-CPLX,"['PWY-6519', 'PWY0-862', 'PWY-5973', 'PWY-5971', 'PWY-6282', 'FASYN-ELONG-PWY']","['7-Keto-8-aminopelargonate-Biosynthesis', '5Z-Dodec-5-enoate-Biosynthesis', 'Unsaturated-Fatty-Acids-Biosynthesis', 'Palmitate-Biosynthesis', 'Palmitoleate-Biosynthesis', 'Fatty-acid-biosynthesis']",FABZ-MONOMER,"['RXN-11477', 'RXN-11481', 'RXN0-2144', 'RXN-10660', 'RXN-10656', 'RXN-9533', 'RXN-9520', 'RXN-9557', '4.2.1.58-RXN', '4.2.1.61-RXN', 'RXN-9655', '4.2.1.59-RXN', 'RXN-9537', '3-HYDROXYDECANOYL-ACP-DEHYDR-RXN']"
EG10278,fadA,FADA-MONOMER,"['FAO-PWY', 'PWY0-1337']","['Fatty-Acid-Degradation', 'Fatty-Acid-Degradation']",FADA-MONOMER,"['RXN-14277', 'RXN-14274', 'RXN-13617', 'RXN-12565', 'KETOACYLCOATHIOL-RXN', 'RXN-17778', 'RXN-17782', 'RXN-17787', 'RXN-17791', 'RXN-17795', 'RXN-17799', 'RXN-14394']"
EG10279,fadB,FADB-MONOMER,"['PWY0-1337', 'FAO-PWY']","['Fatty-Acid-Degradation', 'Fatty-Acid-Degradation']",FADB-MONOMER,"['RXN-12570', 'RXN-20676', 'RXN-12490', 'RXN-20679', 'RXN-11662', 'OHACYL-COA-DEHYDROG-RXN', 'RXN-17777', 'RXN-17781', 'RXN-14393', 'RXN-17786', 'RXN-17790', 'RXN-17794', 'RXN-17798', 'RXN-12567', 'RXN-20675', 'RXN-13616', 'RXN-20678', 'RXN-11667', 'ENOYL-COA-HYDRAT-RXN', 'RXN-17776', 'RXN-17780', 'RXN0-5393', 'RXN-17785', 'RXN-17789', 'RXN-17793', 'RXN-17797', 'RXN-7931', 'ENOYL-COA-DELTA-ISOM-RXN', 'RXN0-5391', 'OHBUTYRYL-COA-EPIM-RXN']"
EG11530,fadD,ACYLCOASYN-CPLX,PWY0-1337,Fatty-Acid-Degradation,ACYLCOASYN-MONOMER,"['RXN-9644', 'RXN-19960', 'TRANS-RXN0-623', 'RXN0-7238', 'RXN0-7239', 'RXN0-7248']"
G6105,fadE,ACYLCOADEHYDROG-MONOMER,"['FAO-PWY', 'PWY0-1337']","['Fatty-Acid-Degradation', 'Fatty-Acid-Degradation']",ACYLCOADEHYDROG-MONOMER,"['RXN-13615', 'RXN-14229', 'RXN-14278', 'BUTYRYL-COA-DEHYDROGENASE-RXN', 'ACYLCOADEHYDROG-RXN', 'RXN-17775', 'RXN-17779', 'RXN-17783', 'RXN-17784', 'RXN-17788', 'RXN-17792', 'RXN-17796']"
G36,fadH,DIENOYLCOAREDUCT-MONOMER,,,DIENOYLCOAREDUCT-MONOMER,['DIENOYLCOAREDUCT-RXN']
G7213,fadI,G7213-MONOMER,"['FAO-PWY', 'PWY0-1337']","['Fatty-Acid-Degradation', 'Fatty-Acid-Degradation']",G7213-MONOMER,"['RXN-14277', 'RXN-14274', 'RXN-13617', 'RXN-12565', 'KETOACYLCOATHIOL-RXN', 'RXN-17778', 'RXN-17782', 'RXN-14394', 'RXN-17787', 'RXN-17791', 'RXN-17795', 'RXN-17799']"
G7212,fadJ,G7212-MONOMER,"['PWY0-1337', 'FAO-PWY']","['Fatty-Acid-Degradation', 'Fatty-Acid-Degradation']",G7212-MONOMER,"['RXN-12570', 'RXN-20676', 'RXN-12490', 'RXN-20679', 'RXN-11662', 'OHACYL-COA-DEHYDROG-RXN', 'RXN-17777', 'RXN-17781', 'RXN-14393', 'RXN-17786', 'RXN-17790', 'RXN-17794', 'RXN-17798', 'RXN-12567', 'RXN-20675', 'RXN-13616', 'RXN-20678', 'RXN-11667', 'ENOYL-COA-HYDRAT-RXN', 'RXN-17776', 'RXN-17780', 'RXN0-5393', 'RXN-17785', 'RXN-17789', 'RXN-17793', 'RXN-17797', 'OHBUTYRYL-COA-EPIM-RXN', 'RXN-7931', 'ENOYL-COA-DELTA-ISOM-RXN']"
EG10280,fadL,EG10280-MONOMER,,,EG10280-MONOMER,['RXN0-1802']
G6244,fadM,G6244-MONOMER,PWY0-1337,Fatty-Acid-Degradation,G6244-MONOMER,['RXN0-5390']
EG11158,fau,EG11158-MONOMER,1CMET2-PWY,Folate-Transformations,EG11158-MONOMER,['5-FORMYL-THF-CYCLO-LIGASE-RXN']
EG10282,fbaA,FRUCBISALD-CLASSII,"['GLUCONEO-PWY', 'PWY-5484', 'GLYCOLYSIS', 'PWY0-1517']","['Gluconeogenesis', 'GLYCOLYSIS-VARIANTS', 'GLYCOLYSIS-VARIANTS', 'Energy-Metabolism']",FRUCTBISALD-CLASSII-MONOMER,"['F16ALDOLASE-RXN', 'SEDOBISALDOL-RXN']"
G7129,fbaB,FRUCBISALD-CLASSI,"['GLUCONEO-PWY', 'PWY-5484', 'GLYCOLYSIS']","['Gluconeogenesis', 'GLYCOLYSIS-VARIANTS', 'GLYCOLYSIS-VARIANTS']",FRUCBISALD-CLASSI-MONOMER,['F16ALDOLASE-RXN']
EG10283,fbp,F16B-CPLX,"['GLUCONEO-PWY', 'PWY-5484', 'GLYCOLYSIS']","['Gluconeogenesis', 'GLYCOLYSIS-VARIANTS', 'GLYCOLYSIS-VARIANTS']",F16B-MONOMER,['F16BDEPHOS-RXN']
EG11788,fcl,CPLX0-3881,PWY-66,GDP-Sugar-Biosynthesis,FCL-MONOMER,"['1.1.1.271-RXN', 'FCLEPIM-RXN', 'FCLREDUCT-RXN']"
EG10285,fdhF,"['FHLMULTI-CPLX', 'FORMATEDEHYDROGH-MONOMER']","['PWY-6772', 'FERMENTATION-PWY']","['Hydrogen-Production', 'Fermentation-to-Acids', 'Pyruvate-Ethanol-Fermentation', 'Super-Pathways']",FORMATEDEHYDROGH-MONOMER,"['FHLMULTI-RXN', 'HYDROG-RXN', 'RXN0-3281']"
EG11227,fdnG,FORMATEDEHYDROGN-CPLX,"['PWY0-1321', 'PWY0-1356', 'PWY0-1585', 'PWY0-1355']","['ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'Nitrate-Reduction', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer']",FDNG-MONOMER,['FORMATEDEHYDROG-RXN']
EG11228,fdnH,FORMATEDEHYDROGN-CPLX,"['PWY0-1321', 'PWY0-1356', 'PWY0-1585', 'PWY0-1355']","['ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'Nitrate-Reduction', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer']",FDNH-MONOMER,['FORMATEDEHYDROG-RXN']
EG11229,fdnI,FORMATEDEHYDROGN-CPLX,"['PWY0-1321', 'PWY0-1356', 'PWY0-1585', 'PWY0-1355']","['ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'Nitrate-Reduction', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer']",FDNI-MONOMER,['FORMATEDEHYDROG-RXN']
EG11858,fdoG,FORMATEDEHYDROGO-CPLX,"['PWY0-1321', 'PWY0-1356', 'PWY0-1585', 'PWY0-1355']","['ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'Nitrate-Reduction', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer']",FDOG-MONOMER,['FORMATEDEHYDROG-RXN']
EG11857,fdoH,FORMATEDEHYDROGO-CPLX,"['PWY0-1321', 'PWY0-1356', 'PWY0-1585', 'PWY0-1355']","['ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'Nitrate-Reduction', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer']",FDOH-MONOMER,['FORMATEDEHYDROG-RXN']
EG11856,fdoI,FORMATEDEHYDROGO-CPLX,"['PWY0-1321', 'PWY0-1356', 'PWY0-1585', 'PWY0-1355']","['ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'Nitrate-Reduction', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer']",FDOI-MONOMER,['FORMATEDEHYDROG-RXN']
G7961,feaB,PHENDEHYD-CPLX,2PHENDEG-PWY,Phenylethylamine-Degradation,PHENDEHYD-MONOMER,['PHENDEHYD-RXN']
EG10286,fecA,CPLX0-1943,,,EG10286-MONOMER,['RXN0-1684']
EG10287,fecB,ABC-9-CPLX,,,FECB-MONOMER,['ABC-9-RXN']
EG10288,fecC,ABC-9-CPLX,,,FECC-MONOMER,['ABC-9-RXN']
EG10289,fecD,ABC-9-CPLX,,,FECD-MONOMER,['ABC-9-RXN']
EG10290,fecE,ABC-9-CPLX,,,FECE-MONOMER,['ABC-9-RXN']
EG12102,feoB,FEOB-MONOMER,,,FEOB-MONOMER,['TRANS-RXN-424']
EG10293,fepA,CPLX0-1941,,,EG10293-MONOMER,['RXN0-1682']
EG10294,fepB,ABC-10-CPLX,,,FEPB-MONOMER,['ABC-10-RXN']
EG10295,fepC,ABC-10-CPLX,,,FEPC-MONOMER,['ABC-10-RXN']
EG10296,fepD,ABC-10-CPLX,,,FEPD-MONOMER,['ABC-10-RXN']
EG10298,fepG,ABC-10-CPLX,,,FEPG-MONOMER,['ABC-10-RXN']
EG10299,fes,EG10299-MONOMER,,,EG10299-MONOMER,"['RXN-20025', 'RXN0-6938', 'RXN-20023', 'RXN-20024', 'RXN0-1661', 'RXN-14477', 'RXN-14478', 'RXN-14479']"
EG10302,fhuA,CPLX0-1942,,,EG10302-MONOMER,['RXN0-1701']
EG10303,fhuB,ABC-11-CPLX,,,FHUB-MONOMER,"['ABC-11-RXN', 'TRANS-RXN-297', 'TRANS-RXN-298']"
EG10304,fhuC,ABC-11-CPLX,,,FHUC-MONOMER,"['ABC-11-RXN', 'TRANS-RXN-297', 'TRANS-RXN-298']"
EG10305,fhuD,ABC-11-CPLX,,,FHUD-MONOMER,"['ABC-11-RXN', 'TRANS-RXN-297', 'TRANS-RXN-298']"
EG10306,fhuE,CPLX0-7952,,,EG10306-MONOMER,['RXN0-1702']
EG11873,fieF,CPLX0-7641,,,YIIP-MONOMER,"['TRANS-RXN0-200', 'TRANS-RXN0-244', 'RXN0-6']"
G6414,fiu,CPLX0-8541,,,G6414-MONOMER,['RXN0-1721']
EG11268,fmt,EG11268-MONOMER,,,EG11268-MONOMER,"['METHIONYL-TRNA-FORMYLTRANSFERASE-RXN', 'RXN0-7422']"
EG11258,focA,CPLX0-7843,,,FOCA-MONOMER,"['TRANS-RXN-1', 'TRANS-RXN-381']"
G7309,focB,FOCB-MONOMER,,,FOCB-MONOMER,['TRANS-RXN-1']
EG10326,folA,DIHYDROFOLATEREDUCT-MONOMER,"['PWY-6614', '1CMET2-PWY']","['Folate-Biosynthesis', 'Folate-Transformations']",DIHYDROFOLATEREDUCT-MONOMER,"['RXN-19329', 'DIHYDROFOLATEREDUCT-RXN']"
EG11673,folB,CPLX0-3936,PWY-6147,6-HM-Dihydropterin-PP-Biosynthesis,H2NEOPTERINALDOL-MONOMER,"['H2NEOPTERINALDOL-RXN', 'RXN-10856']"
EG10327,folC,FOLC-MONOMER,"['PWY-2161', 'PWY-6614']","['Folate-Biosynthesis', 'Folate-Biosynthesis']",FOLC-MONOMER,"['RXN0-2921', 'FORMYLTHFGLUSYNTH-RXN', 'FOLYLPOLYGLUTAMATESYNTH-RXN', 'DIHYDROFOLATESYNTH-RXN']"
EG10328,folD,FOLD-CPLX,1CMET2-PWY,Folate-Transformations,FOLD-MONOMER,"['METHENYLTHFCYCLOHYDRO-RXN', 'METHYLENETHFDEHYDROG-NADP-RXN']"
EG11375,folE,FOLE-CPLX,"['PWY-6147', 'PWY-6703', 'PWY0-1433']","['6-HM-Dihydropterin-PP-Biosynthesis', 'SECONDARY-METABOLITE-BIOSYNTHESIS', 'Signaling-Compound-Biosynthesis']",GTP-CYCLOHYDRO-I-MONOMER,['GTP-CYCLOHYDRO-I-RXN']
EG11374,folK,H2PTERIDINEPYROPHOSPHOKIN-MONOMER,PWY-6147,6-HM-Dihydropterin-PP-Biosynthesis,H2PTERIDINEPYROPHOSPHOKIN-MONOMER,['H2PTERIDINEPYROPHOSPHOKIN-RXN']
G6862,folM,CPLX0-8571,"['PWY0-1433', 'PWY-6614', '1CMET2-PWY']","['Signaling-Compound-Biosynthesis', 'Folate-Biosynthesis', 'Folate-Transformations']",G6862-MONOMER,"['RXN0-6367', 'RXN-19329', 'DIHYDROFOLATEREDUCT-RXN']"
EG50011,folP,H2PTEROATESYNTH-CPLX,PWY-6614,Folate-Biosynthesis,H2PTEROATESYNTH-MONOMER,['H2PTEROATESYNTH-RXN']
G7195,folX,FOLXTET-CPLX,PWY0-1433,Signaling-Compound-Biosynthesis,H2NTPEPIM-MONOMER,['H2NTPEPIM-RXN']
EG10628,fpr,FLAVONADPREDUCT-MONOMER,,,FLAVONADPREDUCT-MONOMER,"['FLAVONADPREDUCT-RXN', 'RXN-17897']"
G7237,frc,CPLX0-1142,,,G7237-MONOMER,['RXN0-1382']
EG10330,frdA,FUMARATE-REDUCTASE,"['PWY0-1336', 'PWY0-1582', 'PWY0-1576', 'FERMENTATION-PWY']","['ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'Fermentation-to-Acids', 'Pyruvate-Ethanol-Fermentation', 'Super-Pathways']",FUM-FLAVO,['R601-RXN']
EG10331,frdB,FUMARATE-REDUCTASE,"['PWY0-1336', 'PWY0-1582', 'PWY0-1576', 'FERMENTATION-PWY']","['ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'Fermentation-to-Acids', 'Pyruvate-Ethanol-Fermentation', 'Super-Pathways']",FUM-FE-S,['R601-RXN']
EG10332,frdC,FUMARATE-REDUCTASE,"['PWY0-1336', 'PWY0-1582', 'PWY0-1576', 'FERMENTATION-PWY']","['ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'Fermentation-to-Acids', 'Pyruvate-Ethanol-Fermentation', 'Super-Pathways']",FUM-MEMB1,['R601-RXN']
EG10333,frdD,FUMARATE-REDUCTASE,"['PWY0-1336', 'PWY0-1582', 'PWY0-1576', 'FERMENTATION-PWY']","['ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'ANAEROBIC-RESPIRATION', 'Electron-Transfer', 'Fermentation-to-Acids', 'Pyruvate-Ethanol-Fermentation', 'Super-Pathways']",FUM-MEMB2,['R601-RXN']
EG10334,fre,FMNREDUCT-MONOMER,,,FMNREDUCT-MONOMER,"['NADPH-DEHYDROGENASE-FLAVIN-RXN', 'RXN-12445', 'RXN-9510', 'RXN-12444', 'FMNREDUCT-RXN', 'RXN-8506']"
EG12908,frlA,YHFM-MONOMER,,,YHFM-MONOMER,"['TRANS-RXN0-418', 'TRANS-RXN0-417']"
G7723,frlB,CPLX0-821,PWY0-521,Glyco-Amino-Acids-Degradation,G7723-MONOMER,['RXN0-963']
G7726,frlD,G7726-MONOMER,PWY0-521,Glyco-Amino-Acids-Degradation,G7726-MONOMER,['RXN0-962']
G6208,frmB,G6208-MONOMER,PWY-1801,Formaldehyde-Oxidation,G6208-MONOMER,['S-FORMYLGLUTATHIONE-HYDROLASE-RXN']
EG10336,fruA,CPLX-158,,,FRUA-MONOMER,"['TRANS-RXN-1567', 'TRANS-RXN0-618', 'TRANS-RXN-158']"
G7990,fruB,CPLX-158,,,"['MONOMER0-4306', 'FRUB-MONOMER']","['TRANS-RXN-1567', 'TRANS-RXN0-618', 'TRANS-RXN-158']"
EG10337,fruK,1-PFK,PWY0-1314,Sugars-And-Polysaccharides-Degradation,1-PFK-MONOMER,['1PFRUCTPHOSN-RXN']
G6428,fsaA,CPLX0-201,,,G6428-MONOMER,['RXN0-313']
EG11905,fsaB,CPLX0-8584,,,EG11905-MONOMER,['RXN0-313']
EG10341,ftsI,EG10341-MONOMER,PWY0-1586,Peptidoglycan-Biosynthesis,EG10341-MONOMER,['RXN-16659']
EG10348,fucA,CPLX0-7633,"['FUCCAT-PWY', 'DARABCATK12-PWY']","['L-Fucose-Degradation', 'D-Arabinose-Degradation']",FUCPALDOL-MONOMER,"['FUCPALDOL-RXN', 'DARABALDOL-RXN']"
EG10349,fucI,CPLX0-7631,"['FUCCAT-PWY', 'DARABCATK12-PWY']","['L-Fucose-Degradation', 'D-Arabinose-Degradation']",FUCISOM-MONOMER,"['FUCISOM-RXN', 'DARABISOM-RXN']"
EG10350,fucK,FUCULOKIN-MONOMER,"['FUCCAT-PWY', 'DARABCATK12-PWY']","['L-Fucose-Degradation', 'D-Arabinose-Degradation']",FUCULOKIN-MONOMER,"['FUCULOKIN-RXN', 'DARABKIN-RXN']"
EG10351,fucO,LACTALDREDUCT-CPLX,"['PWY0-1280', 'PWY0-1315']","['Alcohol-Degradation', 'Lactaldehyde-Degradation']",LACTALDREDUCT-MONOMER,"['GLYCOLALDREDUCT-RXN', 'LACTALDREDUCT-RXN']"
EG10352,fucP,FUCP-MONOMER,,,FUCP-MONOMER,"['TRANS-RXN-20', 'RXN0-7221', 'RXN0-7222']"
EG10355,fucU,CPLX0-7645,"['FUCCAT-PWY', 'RIBOKIN-PWY']","['L-Fucose-Degradation', 'Sugars-And-Polysaccharides-Degradation']",EG10355-MONOMER,"['RXN0-5298', 'RXN0-5304']"
EG10356,fumA,FUMARASE-A,"['TCA', 'FERMENTATION-PWY']","['TCA-VARIANTS', 'Fermentation-to-Acids', 'Pyruvate-Ethanol-Fermentation', 'Super-Pathways']",FUMA-MONOMER,"['FUMHYDR-RXN', 'OXALOACETATE-TAUTOMERASE-RXN']"
