Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Characterization	Object ID
gltV	b4008	4209774	4209849	tRNA-Glu(UUC)	WELL-CHARACTERIZED	EG30034
yiaT	b3584	3751128	3751868	outer membrane protein YiaT	UNCHARACTERIZED	EG12288
ydcF	b1414	1487235	1488035	DUF218 domain-containing protein YdcF	UNCHARACTERIZED	EG12110
ygbN	b2740	2865101	2866465	putative transporter YgbN	PARTIAL	G7421
ohsC	b4608	2700520	2700598	small regulatory RNA OhsC	PARTIAL	G0-10598
gsiD	b0832	871890	872801	glutathione ABC transporter membrane subunit GsiD	WELL-CHARACTERIZED	G6432
trpC	b1262	1318427	1319788	fused indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase	WELL-CHARACTERIZED	EG11026
holA	b0640	670574	671605	DNA polymerase III subunit &delta;	WELL-CHARACTERIZED	EG11412
grxD	b1654	1733754	1734101	glutaredoxin 4	WELL-CHARACTERIZED	EG12181
serX	b1032	1097565	1097652	tRNA-Ser(GGA)	WELL-CHARACTERIZED	EG30097
mocA	b2877	3015160	3015738	molybdenum cofactor cytidylyltransferase	WELL-CHARACTERIZED	G7496
asnT	b1977	2044549	2044624	tRNA-Asn(GUU)	WELL-CHARACTERIZED	EG30020
rpsE	b3303	3444726	3445229	30S ribosomal subunit protein S5	WELL-CHARACTERIZED	EG10904
rrlA	b3854	4037519	4040423	23S ribosomal RNA	WELL-CHARACTERIZED	EG30077
thiB	b0068	74497	75480	thiamine ABC transporter periplasmic binding protein	WELL-CHARACTERIZED	EG11574
bioA	b0774	807968	809257	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	WELL-CHARACTERIZED	EG10117
yjcB	b4060	4274760	4275041	uncharacterized protein YjcB	UNCHARACTERIZED	EG11937
rnm	b1266	1323220	1324101	RNase AM	WELL-CHARACTERIZED	G6634
yihX	b3885	4075553	4076152	&alpha;-D-glucose-1-phosphate phosphatase YihX	WELL-CHARACTERIZED	EG11850
ecnA	b4410	4376317	4376442	entericidin A lipoprotein, antidote to entericidin B	PARTIAL	G0-41
dpiB	b0619	652235	653893	DpiB-<i>N</i>-phospho-L-histidine // sensor histidine kinase DpiB	WELL-CHARACTERIZED	G6345
b0309	b0309	324408	324620			G6179
pyrD	b0945	1004768	1005778	dihydroorotate dehydrogenase, type 2	WELL-CHARACTERIZED	EG10807
yidC	b3705	3885076	3886722	membrane protein insertase YidC	WELL-CHARACTERIZED	EG11197
slmA	b3641	3814494	3815090	nucleoid occlusion factor SlmA	WELL-CHARACTERIZED	EG11191
yjaG	b3999	4199504	4200094	DUF416 domain-containing protein YjaG	UNCHARACTERIZED	EG11916
mpaA	b1326	1389870	1390598	murein tripeptide amidase A	WELL-CHARACTERIZED	G6662
mdh	b3236	3383330	3384268	malate dehydrogenase	WELL-CHARACTERIZED	EG10576
ybjH	b0843	884946	885230	uncharacterized protein YbjH	UNCHARACTERIZED	G6441
cheB	b1883	1967452	1968501	CheB-P<SUP>asp</SUP> // protein-glutamate methylesterase/protein glutamine deamidase	WELL-CHARACTERIZED	EG10147
ypaB	b4605	2344594	2344737	protein YpaB	UNCHARACTERIZED	G0-10596
uvrD	b3813	3997983	4000145	DNA helicase II	WELL-CHARACTERIZED	EG11064
icd	b1136	1195123	1196373	isocitrate dehydrogenase	WELL-CHARACTERIZED	EG10489
ymgM	b4740	1240260	1240463	protein YmgM	UNCHARACTERIZED	G0-16735
yoaE	b1816	1900029	1901585	TerC family inner membrane protein YoaE	UNCHARACTERIZED	G6997
ilvG	b4488	3950560	3952204	acetolactate synthase II subunit IlvG		G8221
fimH	b4320	4548808	4549710	type 1 fimbriae D-mannose specific adhesin	WELL-CHARACTERIZED	EG10315
yehP	b2121	2207967	2209103	VWA domain-containing protein YehP	PARTIAL	EG12002
entS	b0591	622300	623550	enterobactin exporter EntS	WELL-CHARACTERIZED	EG11104
yffP	b2447	2562524	2563117	CPZ-55 prophage; uncharacterized protein YffP	UNCHARACTERIZED	G7277
yegD	b2069	2147674	2149026	HSP70 family protein YegD	UNCHARACTERIZED	EG12200
yriB	b4792	3640643	3640696	protein YriB	UNCHARACTERIZED	G0-17038
ycfH	b1100	1156777	1157574	putative metal-dependent hydrolase YcfH	PARTIAL	EG12303
casE	b2756	2879788	2880387	pre-CRISPR RNA endonuclease	WELL-CHARACTERIZED	G7426
yejL	b2187	2284129	2284356	DUF1414 domain-containing protein YejL	UNCHARACTERIZED	EG12043
fusA	b3340	3471400	3473514	elongation factor G	WELL-CHARACTERIZED	EG10360
b3004	b3004	3150722	3150967			G7561
ygcW	b2774	2899488	2900273	putative deoxygluconate dehydrogenase	PARTIAL	G7440
rplX	b3309	3447453	3447767	50S ribosomal subunit protein L24	WELL-CHARACTERIZED	EG10884
yaaY	b0024	21181	21399	DUF2575 domain-containing protein YaaY	UNCHARACTERIZED	G6087
iscU	b2529	2659903	2660289	scaffold protein for [Fe-S] cluster assembly	WELL-CHARACTERIZED	G7324
sdhC	b0721	755177	755566	succinate:quinone oxidoreductase, membrane protein SdhC	WELL-CHARACTERIZED	EG10933
ycgI	b4521	1223564	1223907	protein YcgI		G0-10444
ydaV	b1360	1421983	1422729	Rac prophage; putative ATP-binding protein YdaV	PARTIAL	G6684
gdx	b4148	4376875	4377192	guanidinium exporter	WELL-CHARACTERIZED	EG11616
hcaB	b2541	2671225	2672037	2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase	WELL-CHARACTERIZED	G7335
yieH	b3715	3896774	3897439	6-phosphogluconate phosphatase	PARTIAL	EG11725
nirC	b3367	3497003	3497809	nitrite transporter NirC	WELL-CHARACTERIZED	EG10654
nagC	b0676	700374	701594	DNA-binding transcriptional dual regulator NagC	WELL-CHARACTERIZED	EG10636
yehA	b2108	2187380	2188414	putative fimbrial adhesin YehA	PARTIAL	EG11987
yjaB	b4012	4213680	4214123	peptidyl-lysine <i>N</i>-acetyltransferase YjaB	WELL-CHARACTERIZED	EG11207
yecR	b1904	1988222	1988545	lipoprotein YecR	UNCHARACTERIZED	G7035
ybhL	b0786	819884	820588	Bax1-I family protein YbhL	UNCHARACTERIZED	G6403
gadX	b3516	3664986	3665810	DNA-binding transcriptional dual regulator GadX	WELL-CHARACTERIZED	EG12243
yffN	b2445	2561625	2561993	CPZ-55 prophage; uncharacterized protein YffN	UNCHARACTERIZED	G7275
glvC	b3683	3862497	3863603	putative PTS enzyme II component GlvC	PARTIAL	EG11710
lapB	b1280	1340558	1341727	lipopolysaccharide assembly protein B	PARTIAL	EG12691
ytfJ	b4216	4438708	4439262	PF09695 family protein YtfJ	UNCHARACTERIZED	G7871
hyaF	b0977	1036749	1037606	protein HyaF	UNCHARACTERIZED	EG10473
idnR	b4264	4490141	4491139	DNA-binding transcriptional dual regulator IdnR	PARTIAL	G7891
secB	b3609	3783661	3784128	protein export chaperone SecB	WELL-CHARACTERIZED	EG10937
ccmF	b2196	2292961	2294904	holocytochrome <I>c</I> synthase CcmF component	WELL-CHARACTERIZED	EG12054
narV	b1465	1535937	1536617	nitrate reductase Z subunit &gamma;	WELL-CHARACTERIZED	EG10644
ykfI	b0245	263328	263669	CP4-6 prophage; toxin of the YkfI-YafW toxin-antitoxin system	PARTIAL	G6120
yedA	b1959	2029539	2030459	putative transporter YedA	PARTIAL	EG11141
cysP	b2425	2542512	2543528	thiosulfate/sulfate ABC transporter periplasmic binding protein CysP	WELL-CHARACTERIZED	EG10195
dinJ	b0226	246242	246502	antitoxin/DNA-binding transcriptional repressor DinJ	WELL-CHARACTERIZED	G6110
nac	b1988	2061016	2061933	DNA-binding transcriptional dual regulator Nac	WELL-CHARACTERIZED	G7072
frdC	b4152	4379377	4379772	fumarate reductase membrane protein FrdC	WELL-CHARACTERIZED	EG10332
mhpF	b0351	372921	373871	acetaldehyde dehydrogenase (acetylating) MhpF	WELL-CHARACTERIZED	M014
rlmL	b0948	1007844	1009952	fused 23S rRNA m<sup>2</sup>G2445 methyltransferase and 23S rRNA m<sup>7</sup>G2069 methyltransferase	WELL-CHARACTERIZED	G6488
ymgL	b4739	1212540	1212650	protein YmgL	UNCHARACTERIZED	G0-16734
dhaM	b1198	1247696	1249114	dihydroxyacetone kinase subunit M	WELL-CHARACTERIZED	EG12399
ybgP	b0717	748979	749707	putative fimbrial chaperone YbgP	PARTIAL	G6386
C0719		3121358	3121579			G0-8912
yecM	b1875	1959280	1959846	putative metal-binding enzyme YecM	PARTIAL	G7025
hemX	b3803	3987885	3989066	PF04375 family protein HemX	UNCHARACTERIZED	EG10433
gmd	b2053	2127193	2128314	GDP-mannose 4,6-dehydratase	WELL-CHARACTERIZED	EG11787
torT	b0994	1056261	1057289	TorT-TMAO // periplasmic trimethylamine-N-oxide binding protein	PARTIAL	G6515
yojI	b2211	2306972	2308615	ABC transporter family protein / microcin J25 efflux protein	WELL-CHARACTERIZED	EG12070
nagE	b0679	703944	705890	N-acetylglucosamine-specific PTS enzyme IIABC component	WELL-CHARACTERIZED	EG10635
citR	b0603	636716	637618	DNA-binding transcriptional repressor CitR	PARTIAL	G6332
pta	b2297	2414747	2416891	phosphate acetyltransferase	WELL-CHARACTERIZED	EG20173
actS	b2865	2999136	2999891	amidase activator	WELL-CHARACTERIZED	G7484
lipA	b0628	659251	660216	lipoyl synthase	WELL-CHARACTERIZED	EG11306
yciT	b1284	1343597	1344346	DNA-binding transcriptional dual regulator YciT	PARTIAL	G6638
alaX	b2396	2518041	2518116	tRNA-Ala(GGC)	WELL-CHARACTERIZED	EG30012
ydhX	b1671	1750345	1751013	putative 4Fe-4S ferredoxin-like protein YdhX	PARTIAL	G6899
fdoI	b3892	4081225	4081860	formate dehydrogenase O subunit &gamma;	WELL-CHARACTERIZED	EG11856
glpA	b2241	2352647	2354275	anaerobic glycerol-3-phosphate dehydrogenase subunit A	WELL-CHARACTERIZED	EG10391
b0105	b0105	114407	114514			G6090
yhaL	b3107	3255043	3255207	uncharacterized protein YhaL	UNCHARACTERIZED	G7621
stfZ	b4840	104948	105499	small antisense RNA StfZ	WELL-CHARACTERIZED	G0-17120
ycdX	b1034	1098879	1099616	zinc-binding phosphatase YcdX	WELL-CHARACTERIZED	G6540
soxS	b4062	4277060	4277383	DNA-binding transcriptional dual regulator SoxS	WELL-CHARACTERIZED	EG10958
fliJ	b1942	2017946	2018389	flagellar biosynthesis protein FliJ	WELL-CHARACTERIZED	G378
wcaD	b2056	2129661	2130878	colanic acid polymerase	WELL-CHARACTERIZED	G7101
ugpB	b3453	3591009	3592325	<i>sn</i>-glycerol 3-phosphate ABC transporter periplasmic binding protein	WELL-CHARACTERIZED	EG11047
hyfD	b2484	2604811	2606250	hydrogenase 4 component D	PARTIAL	G7301
mhpT	b0353	375459	376670	3-hydroxyphenylpropionate/3-hydroxycinnamate:H<sup>+</sup> symporter	WELL-CHARACTERIZED	G6206
yaeF	b0193	216179	217003	peptidase C92 family protein YaeF	PARTIAL	EG12138
sufA	b1684	1764018	1764386	iron-sulfur cluster insertion protein SufA	WELL-CHARACTERIZED	EG11378
pspH	b4758	4263139	4263249	small regulatory RNA PspH	WELL-CHARACTERIZED	G0-16700
yraH	b3142	3287426	3288010	putative fimbrial protein YraH	PARTIAL	G7637
rhaT	b3907	4099491	4100525	rhamnose/lyxose:H<sup>+</sup> symporter	WELL-CHARACTERIZED	EG11313
yfdM	b2356	2472112	2472387	CPS-53 (KpLE1) prophage; putative methyltransferase YfdM	PARTIAL	G7225
dnaJ	b0015	14168	15298	chaperone protein DnaJ	WELL-CHARACTERIZED	EG10240
insCD1		381351	382579	IS2 element transposase InsAB'	PARTIAL	G0-10541
ppsA	b1702	1784734	1787112	phosphoenolpyruvate synthetase	WELL-CHARACTERIZED	EG10759
yciZ	b4596	1344436	1344609	UPF0509 family protein YciZ	UNCHARACTERIZED	G0-10591
kbaZ	b3132	3278914	3280194	putative tagatose-1,6-bisphosphate aldolase 1 chaperone	PARTIAL	G7631
ykgE	b0306	321608	322327	putative lactate utilization oxidoreductase YkgE	PARTIAL	G6176
fabD	b1092	1149728	1150657	[acyl-carrier-protein] <i>S</i>-malonyltransferase	WELL-CHARACTERIZED	EG11317
tadA	b2559	2697354	2697857	tRNA adenosine<sup>34</sup> deaminase	WELL-CHARACTERIZED	EG11372
yihI	b3866	4051347	4051856	Der GTPase-activating protein YihI	WELL-CHARACTERIZED	EG11835
thiL	b0417	435634	436611	thiamine monophosphate kinase	WELL-CHARACTERIZED	G6234
napH	b2204	2298715	2299578	ferredoxin-type protein NapH	WELL-CHARACTERIZED	EG12062
yegP	b2080	2165189	2165521	DUF1508 domain-containing protein YegP	UNCHARACTERIZED	G7117
rbsK	b3752	3937294	3938223	ribokinase	WELL-CHARACTERIZED	EG10818
garK	b3124	3270625	3271770	glycerate 2-kinase 1	WELL-CHARACTERIZED	EG11175
yciQ	b1268	1324746	1326641	DUF2207 domain-containing protein YciQ	UNCHARACTERIZED	G6636
murG	b0090	99644	100711	N-acetylglucosaminyl transferase	WELL-CHARACTERIZED	EG10623
nudJ	b1134	1193827	1194288	phosphatase NudJ	WELL-CHARACTERIZED	G6580
rhsE	b1456	1527890	1529938	RhsE protein in rhs element		EG10010
srlR	b2707	2829047	2829820	DNA-binding transcriptional repressor SrlR	PARTIAL	EG10974
insH2	b0552	574737	575717	DLP12 prophage; IS<i>5</i> transposase and trans-activator	PARTIAL	G6308
thpR	b0147	161501	162031	RNA 2',3'-cyclic phosphodiesterase	PARTIAL	EG12330
yhaC	b3121	3268415	3269602	uncharacterized protein YhaC	UNCHARACTERIZED	EG11174
comR	b1111	1168200	1168832	DNA-binding transcriptional repressor ComR	WELL-CHARACTERIZED	G6569
argL	b4766	290275	290370	putative translational regulatory protein ArgL	PARTIAL	G0-17012
recO	b2565	2701741	2702469	recombination mediator protein RecO	PARTIAL	EG10832
yibG	b3596	3768177	3768638	tetratricopeptide-like domain-containing protein YibG	UNCHARACTERIZED	EG11763
frvB	b3899	4090915	4092366	putative PTS enzyme IIBC component FrvB	PARTIAL	EG11863
ykgJ	b0288	303853	304182	putative metal-chelating domain-containing protein YkgJ	PARTIAL	G6159
ybjC	b0850	890913	891200	DUF1418 domain-containing protein YbjC	UNCHARACTERIZED	EG12842
nuoA	b2288	2404629	2405072	NADH:quinone oxidoreductase subunit A	WELL-CHARACTERIZED	EG12082
rpnD	b4584	4568998	4569918	putative inactive recombination-promoting nuclease-like protein RpnD		G7934
ycjY	b1327	1390933	1391853	putative hydrolase YcjY	PARTIAL	G6663
smf	b4473	3432436	3433560	protein Smf	UNCHARACTERIZED	EG11604
yigA	b3810	3995583	3996290	DUF484 domain-containing protein YigA	UNCHARACTERIZED	EG11201
yagG	b0270	285395	286777	CP4-6 prophage; putative D-xylonate transporter YagG	PARTIAL	G6142
murC	b0091	100765	102240	UDP-<i>N</i>-acetylmuramate&mdash;L-alanine ligase	WELL-CHARACTERIZED	EG10619
ynfE	b1587	1658069	1660495	putative selenate reductase YnfE	PARTIAL	G6845
iprA	b0375	394506	395129	putative DNA-binding transcriptional regulator IprA	PARTIAL	G6226
pinE	b1158	1209685	1210239	e14 prophage; site-specific DNA recombinase	WELL-CHARACTERIZED	EG10737
phoP	b1130	1189776	1190447	DNA-binding transcriptional dual regulator PhoP-phosphorylated // DNA-binding transcriptional dual regulator PhoP	WELL-CHARACTERIZED	EG10731
tsf	b0170	190857	191708	protein chain elongation factor EF-Ts	PARTIAL	EG11033
tyrA	b2600	2738948	2740069	fused chorismate mutase/prephenate dehydrogenase	WELL-CHARACTERIZED	EG11039
dppC	b3542	3703859	3704761	dipeptide ABC transporter membrane subunit DppC	WELL-CHARACTERIZED	EG12626
yhbW	b3160	3303448	3304455	putative luciferase-like monooxygenase YhbW	PARTIAL	G7654
glnE	b3053	3196801	3199641	fused glutamine synthetase deadenylase/glutamine synthetase adenylyltransferase	WELL-CHARACTERIZED	EG11602
yhcO	b3239	3385857	3386129	putative barnase inhibitor	PARTIAL	G7684
ydeI	b1536	1624105	1624497	BOF family protein YdeI	PARTIAL	EG11644
mreC	b3250	3398875	3399978	cell shape determining protein MreC	PARTIAL	EG10609
gntT	b3415	3546559	3547875	high-affinity gluconate transporter	WELL-CHARACTERIZED	EG12380
yfjM	b2629	2765513	2765776	CP4-57 prophage; protein YfjM	UNCHARACTERIZED	G7364
rluE	b1135	1194298	1194951	23S rRNA pseudouridine<sup>2457</sup> synthase	WELL-CHARACTERIZED	G6581
putA	b1014	1074920	1078882	fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA	WELL-CHARACTERIZED	EG10801
yijO	b3954	4147466	4148317	putative DNA-binding transcriptional regulator YijO	PARTIAL	EG11913
aceF	b0115	125695	127587	dihydrolipoyl-[pyruvate dehydrogenase E2 subunit] // <i>S</i>-acetyldihydrolipoyl-[pyruvate dehydrogenase E2 subunit] // lipoyl-[pyruvate dehydrogenase E2 sbunit] // pyruvate dehydrogenase E2 subunit	WELL-CHARACTERIZED	EG10025
rpnA	b3411	3543167	3544045	recombination-promoting nuclease RpnA	WELL-CHARACTERIZED	EG11750
IS128		2653515	2653723			G0-8908
ycjM	b1309	1370216	1371895	glucosylglycerate phosphorylase	PARTIAL	G6647
nadC	b0109	117752	118645	quinolinate phosphoribosyltransferase (decarboxylating)	WELL-CHARACTERIZED	EG11546
ltaE	b0870	908293	909294	low-specificity L-threonine aldolase	WELL-CHARACTERIZED	G6455
cysS	b0526	554611	555996	cysteine&mdash;tRNA ligase	WELL-CHARACTERIZED	EG10196
leuE	b1798	1880121	1880759	leucine exporter	WELL-CHARACTERIZED	G6984
nikB	b3477	3615241	3616185	Ni(2+) ABC transporter membrane subunit NikB	WELL-CHARACTERIZED	EG12076
xdhB	b2867	3002614	3003492	putative xanthine dehydrogenase FAD-binding subunit XdhB	WELL-CHARACTERIZED	G7486
kdsA	b1215	1268165	1269019	3-deoxy-D-<i>manno</i>-octulosonate 8-phosphate synthase	WELL-CHARACTERIZED	EG10518
yoaC	b1810	1894133	1894432	DUF1889 domain-containing protein YoaC	UNCHARACTERIZED	G6994
micC	b4427	1437121	1437231	small regulatory RNA MicC	WELL-CHARACTERIZED	G0-8901
yggF	b2930	3075217	3076182	fructose 1,6-bisphosphatase YggF	WELL-CHARACTERIZED	EG11245
rsxG	b1631	1710204	1710824	SoxR [2Fe-2S] reducing system flavoprotein RsxG	WELL-CHARACTERIZED	G6875
cspG	b0990	1051461	1051673	cold shock protein CspG	PARTIAL	G6511
mepM	b1856	1940313	1941635	peptidoglycan endopeptidase MepM	WELL-CHARACTERIZED	EG10013
phnP	b4092	4314344	4315102	5-phospho-&alpha;-D-ribosyl 1,2-cyclic phosphate phosphodiesterase	WELL-CHARACTERIZED	EG10725
gatC	b2092	2172921	2174278	galactitol-specific PTS enzyme IIC component		EG12416
ymgC	b1167	1216748	1216996	protein YmgC	UNCHARACTERIZED	G6607
fliX	b4827	2001912	2002106	small RNA FliX	PARTIAL	G0-17102
yrdE	b4646	3404638	3405031			G0-16661
nagB	b0678	702811	703611	glucosamine-6-phosphate deaminase	WELL-CHARACTERIZED	EG10633
dsrB	b1952	2024635	2024823	protein DsrB	UNCHARACTERIZED	G7045
ybeL	b0643	675018	675500	DUF1451 domain-containing protein YbeL	UNCHARACTERIZED	EG12851
mltC	b2963	3104433	3105512	membrane-bound lytic murein transglycosylase C	WELL-CHARACTERIZED	G7533
yohJ	b2141	2230624	2231022	putative 3-hydroxypropanoate export protein YohJ	PARTIAL	EG12023
glnD	b0167	185978	188650	protein-PII uridylyltransferase/uridylyl-removing enzyme	WELL-CHARACTERIZED	EG11411
chbG	b1733	1816386	1817135	chitooligosaccharide monodeacetylase ChbG	WELL-CHARACTERIZED	EG12198
dusB	b3260	3410280	3411245	tRNA-dihydrouridine synthase B	WELL-CHARACTERIZED	EG11311
narK	b1223	1277957	1279348	nitrate:nitrite antiporter NarK	WELL-CHARACTERIZED	EG10642
yqgA	b2966	3109553	3110260	DUF554 domain-containing protein YqgA	UNCHARACTERIZED	G7534
mtlA	b3599	3772281	3774194	mannitol-specific PTS enzyme IICBA component	WELL-CHARACTERIZED	EG10615
ylaC	b0458	478781	479251	putative inner membrane protein	UNCHARACTERIZED	G6253
sapA	b1294	1355467	1357110	putative periplasmic binding protein SapA	PARTIAL	G2002
rpsH	b3306	3446153	3446545	30S ribosomal subunit protein S8	WELL-CHARACTERIZED	EG10907
serC	b0907	957653	958741	phosphoserine/phosphohydroxythreonine aminotransferase	WELL-CHARACTERIZED	EG10946
insL1	b0016	15445	16557	IS186/IS421 family transposase	PARTIAL	G6083
glnU	b0670	696865	696939	tRNA-Gln(UUG)	WELL-CHARACTERIZED	EG30028
gpmA	b0755	786843	787595	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	WELL-CHARACTERIZED	EG11699
sieB	b1353	1418671	1419159	Rac prophage; phage superinfection exclusion protein	PARTIAL	EG12154
xylZ	b4834	3729386	3729545	small RNA XylZ	PARTIAL	G0-17109
tar	b1886	1971030	1972691	methyl-accepting chemotaxis protein Tar	WELL-CHARACTERIZED	EG10988
mdtQ	b2139	2227323	2228758	putative multidrug resistance outer membrane protein MdtQ		EG12020
xisD	b4633	565858	566079	excisionase		G0-16717
mraY	b0087	96002	97084	phospho-N-acetylmuramoyl-pentapeptide-transferase	WELL-CHARACTERIZED	EG10604
aroE	b3281	3430020	3430838	shikimate dehydrogenase	WELL-CHARACTERIZED	EG10077
queG	b4166	4392928	4394067	epoxyqueuosine reductase	WELL-CHARACTERIZED	G7843
argO	b2923	3068173	3068808	L-arginine exporter	WELL-CHARACTERIZED	EG11159
dctA	b3528	3682161	3683447	C4 dicarboxylate/orotate:H<sup>+</sup> symporter	WELL-CHARACTERIZED	EG20044
gntP	b4321	4549953	4551296	fructuronate transporter	WELL-CHARACTERIZED	EG12563
ybiU	b0821	857796	859061	DUF1479 domain-containing protein YbiU	UNCHARACTERIZED	G6424
hemN	b3867	4052045	4053418	coproporphyrinogen III dehydrogenase	WELL-CHARACTERIZED	EG11836
yiiS	b3922	4112967	4113266	DUF406 domain-containing protein YiiS	UNCHARACTERIZED	EG11876
appX	b4592	1040445	1040537	cytochrome <i>bd</i>-II accessory subunit AppX	PARTIAL	G0-10588
ypdJ	b4545	2476094	2476234	CPS-53 (KpLE1) prophage; putative uncharacterized protein YpdJ	UNCHARACTERIZED	G0-10461
rpsQ	b3311	3448314	3448568	30S ribosomal subunit protein S17	WELL-CHARACTERIZED	EG10916
rseP	b0176	196546	197898	intramembrane zinc metalloprotease RseP	WELL-CHARACTERIZED	EG12436
msrC	b1832	1915631	1916128	free methionine-(<i>R</i>)-sulfoxide reductase	PARTIAL	G7005
ascrp	b4841	3485953	3486231	small antisense RNA AsCRP	UNCHARACTERIZED	G0-17122
thrL	b0001	190	255	<i>thr</i> operon leader peptide	PARTIAL	EG11277
yciY	b4595	1308788	1308961	uncharacterized protein YciY	UNCHARACTERIZED	G0-8891
glyA	b2551	2684254	2685507	serine hydroxymethyltransferase	WELL-CHARACTERIZED	EG10408
allF	b0518	546680	548347	oxamate carbamoyltransferase subunit AllF	WELL-CHARACTERIZED	G6287
mutL	b4170	4397412	4399259	DNA mismatch repair protein MutL	WELL-CHARACTERIZED	EG11281
lepB	b2568	2704335	2705309	signal peptidase I	WELL-CHARACTERIZED	EG10530
lhgD	b2660	2789982	2791250	L-2-hydroxyglutarate dehydrogenase	WELL-CHARACTERIZED	EG12387
atpE	b3737	3920950	3921189	ATP synthase F<sub>o</sub> complex subunit c	WELL-CHARACTERIZED	EG10102
glk	b2388	2508461	2509426	glucokinase	WELL-CHARACTERIZED	EG12957
lacA	b0342	361249	361860	galactoside <i>O</i>-acetyltransferase	PARTIAL	EG10524
hdfR	b4480	3947128	3947967	DNA-binding transcriptional dual regulator HdfR	WELL-CHARACTERIZED	EG11449
obgE	b3183	3330582	3331754	GTPase ObgE	WELL-CHARACTERIZED	G7656
hyfF	b2486	2606917	2608497	hydrogenase 4 component F	PARTIAL	G7303
ydiN	b1691	1772512	1773777	putative transporter YdiN	PARTIAL	G6917
malX	b1621	1699355	1700947	PTS enzyme IIBC component MalX	WELL-CHARACTERIZED	EG10563
arnC	b2254	2367071	2368039	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase	WELL-CHARACTERIZED	G7167
ydcH	b1426	1498651	1498875	DUF465 domain-containing protein YdcH	UNCHARACTERIZED	EG12865
tonB	b1252	1311089	1311808	Ton complex subunit TonB	WELL-CHARACTERIZED	EG11012
iscA	b2528	2659563	2659886	iron-sulfur cluster insertion protein IscA	WELL-CHARACTERIZED	EG12132
ycgH	b4491	1219601	1222248	putative transporter component, N-terminal fragment		G6609
ppdD	b0108	117109	117549	prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD	PARTIAL	EG12107
sroE	b4761	2640595	2640686	small RNA SroE	PARTIAL	G0-9385
yhhS	b3473	3610516	3611733	putative transporter YhhS	PARTIAL	EG12219
hcaD	b2542	2672047	2673249	putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit	WELL-CHARACTERIZED	G7336
dmsA	b0894	940959	943403	dimethyl sulfoxide reductase subunit A	WELL-CHARACTERIZED	EG10232
mdtA	b2074	2154016	2155263	multidrug efflux pump membrane fusion protein MdtA	WELL-CHARACTERIZED	G7113
flgM	b1071	1129835	1130128	anti-sigma factor for FliA (&sigma;<sup>28</sup>)	WELL-CHARACTERIZED	G369
thrU	b3976	4175388	4175463	tRNA-Thr(UGU)	WELL-CHARACTERIZED	EG30102
mscM	b4159	4386047	4389370	miniconductance mechanosensitive channel MscM	WELL-CHARACTERIZED	G7840
rsxB	b1628	1706348	1706926	SoxR [2Fe-2S] reducing system protein RsxB	WELL-CHARACTERIZED	G6872
rhtA	b0813	849210	850097	L-threonine/L-homoserine exporter	WELL-CHARACTERIZED	EG12134
yffO	b2446	2562111	2562527	CPZ-55 prophage; uncharacterized protein YffO	UNCHARACTERIZED	G7276
pepN	b0932	990622	993234	aminopeptidase N	WELL-CHARACTERIZED	EG10696
cobT	b1991	2063388	2064467	nicotinate-nucleotide&mdash;dimethylbenzimidazole phosphoribosyltransferase	WELL-CHARACTERIZED	EG12151
yfcA	b2327	2444751	2445560	putative transporter YfcA	PARTIAL	EG11144
yebF	b1847	1930034	1930390	secreted protein YebF	UNCHARACTERIZED	EG11807
yhiY	b4790	3630665	3630778	protein YhiY	UNCHARACTERIZED	G0-17036
iraD	b4326	4556993	4557385	anti-adaptor protein IraD	WELL-CHARACTERIZED	G7923
zraS	b4003	4201926	4203323	ZraS-<i>N</i>-phospho-L-histidine // sensor histidine kinase ZraS	WELL-CHARACTERIZED	EG10008
umuC	b1184	1231186	1232454	DNA polymerase V catalytic protein	WELL-CHARACTERIZED	EG11056
yqeL	b4683	2989819	2989899	uncharacterized protein YqeL	UNCHARACTERIZED	G0-10650
ynfM	b1596	1669699	1670952	putative transporter YnfM	PARTIAL	G6854
glpG	b3424	3560622	3561452	rhomboid protease GlpG	WELL-CHARACTERIZED	EG10397
alsE	b4085	4307783	4308478	D-allulose-6-phosphate 3-epimerase	WELL-CHARACTERIZED	EG11957
secG	b3175	3322173	3322505	Sec translocon subunit SecG	WELL-CHARACTERIZED	EG12095
frmR	b0357	379606	379881	DNA-binding transcriptional repressor FrmR	WELL-CHARACTERIZED	G6209
ybfO	b0703	734220	735653	RHS repeats-containing protein YbfO		G6376
yeeT	b2003	2076817	2077038	CP4-44 prophage; DUF987 domain-containing protein YeeT	UNCHARACTERIZED	G7083
sanA	b2144	2232878	2233597	DUF218 domain-containing protein SanA	UNCHARACTERIZED	EG12025
nuoC	b2286	2402055	2403845	NADH:quinone oxidoreductase subunit CD	WELL-CHARACTERIZED	EG12084
